,Flare_Number,Flare_ID,Trigger_Time,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux
0,264.0,201704021250.0,544410060.0,2.0332603526185267e-05,1.781237187969964e-05,1.839180913520977e-05,1.5807687304913998e-05,True,True,True,True,True,M3.6,3.6941372e-05,2017-04-02T13:00:00.000,10.0,9.497819064563373e-07
1,271.0,201704030050.0,544454280.0,4.2338519961049315e-06,3.7104634884599363e-06,3.671076001410256e-06,3.4697043247433612e-06,False,False,False,False,True,,1.9677913e-05,2017-04-03T01:05:00.000,15.0,2.783206355161383e-06
3,275.0,201704030516.0,544468620.0,9.004662388178986e-06,8.722742677491624e-06,9.004662388178986e-06,8.608283678768203e-06,True,True,True,True,False,,3.3803126e-06,2017-04-03T06:35:00.000,79.0,5.601833890978014e-06
4,287.0,201704031417.0,544501740.0,2.8329877750365995e-05,1.815958421502728e-05,1.8974105842062272e-05,1.2283730939088855e-05,True,True,True,True,True,,9.061434e-05,2017-04-03T14:28:00.000,11.0,5.51786024516332e-06
5,848.0,201707140105.0,553270260.0,3.625547105912119e-05,3.5542565456125885e-05,3.570660555851646e-05,3.491309689707123e-05,True,True,True,True,True,M3.7,3.765344e-05,2017-07-14T02:09:00.000,64.0,2.1537948668992613e-06
6,871.0,201707160205.0,553443540.0,4.47995307695237e-06,4.454564077605028e-06,4.728721251012757e-06,4.507978246692801e-06,False,False,False,False,False,C4.5,4.5257957e-06,2017-07-16T02:21:00.000,16.0,3.540683565006475e-06
7,872.0,201707160230.0,553443540.0,4.47995307695237e-06,4.454564077605028e-06,4.728721251012757e-06,4.507978246692801e-06,False,False,False,False,False,C4.7,4.7848002e-06,2017-07-16T02:35:00.000,5.0,4.429021373653086e-06
8,911.0,201707182352.0,553694820.0,3.0169856017892016e-06,2.5840402031462872e-06,2.6583152248349506e-06,2.265225475639454e-06,False,False,False,False,False,C4.3,4.3501154e-06,2017-07-19T00:06:00.000,14.0,5.737687729379104e-07
9,1043.0,201708190126.0,556378680.0,4.2456272240087856e-06,3.6042174542672e-06,3.686173158712336e-06,3.144156607959303e-06,False,False,False,False,True,C5.5,5.571371e-06,2017-08-19T01:37:00.000,11.0,5.053243512520567e-07
10,1046.0,201708190439.0,556390320.0,3.598048806452425e-06,3.50231971424364e-06,3.5674988794198725e-06,3.506667781039141e-06,False,False,False,False,True,C5.0,5.0120934e-06,2017-08-19T04:51:00.000,12.0,2.9987820653332165e-06
11,1073.0,201708201914.0,556529640.0,1.3044581464782823e-05,1.0741830919869244e-05,1.096156302082818e-05,9.335878530691843e-06,True,True,True,True,True,M1.5,1.50812675e-05,2017-08-20T19:39:00.000,25.0,9.522846653453598e-07
12,1262.0,201709050030.0,557843820.0,9.20159618544858e-06,8.578643246437423e-06,8.620955668448005e-06,8.133447408908978e-06,True,True,True,True,True,M1.5,1.5131646e-05,2017-09-05T00:35:00.000,5.0,8.573921149945818e-06
14,1289.0,201709062227.0,558009900.0,5.26351459484431e-06,5.046236765338108e-06,5.2657701417047065e-06,5.227247584116412e-06,True,True,True,True,True,C6.0,6.0079283e-06,2017-09-06T22:31:00.000,4.0,4.396953954710625e-06
