,Flare_Number,Flare_ID,Trigger_Time,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux
0,56.0,201702221258.0,541041360.0,6.415702500817133e-06,6.189522537169978e-06,6.415702500817133e-06,5.846766271133674e-06,True,True,True,True,True,C6.3,6.3901207e-06,2017-02-22T13:27:00.000,29.0,1.3743063220772456e-07
1,165.0,201703271103.0,543885120.0,1.6047373492256156e-06,1.2907971722597722e-06,1.3004312222619774e-06,1.1124616321467329e-06,False,False,False,False,True,C5.0,5.0370404e-06,2017-03-27T11:12:00.000,9.0,1.5002821385223797e-07
3,189.0,201703280445.0,543948900.0,2.280010903632501e-06,1.5588811947964132e-06,1.609466266927484e-06,1.1371633945600479e-06,False,False,False,False,False,C4.9,4.983745e-06,2017-03-28T04:56:00.000,11.0,2.5382095714121533e-07
4,251.0,201704012131.0,544354980.0,6.0873069742228836e-05,5.964616502751596e-05,6.0873069742228836e-05,5.9250352933304384e-05,True,True,True,True,True,M6.8,6.87118e-05,2017-04-01T21:48:00.000,17.0,9.480689868723857e-07
5,257.0,201704020233.0,544373100.0,2.5123940758930985e-06,2.3481807147618383e-06,2.5123940758930985e-06,2.4702412702026777e-06,False,False,False,False,True,M1.2,1.2240209e-05,2017-04-02T02:46:00.000,13.0,6.917163091202383e-07
6,261.0,201704020742.0,544391760.0,8.053233614191413e-05,6.925860361661762e-05,7.173800258897245e-05,6.025889524607919e-05,True,True,True,True,True,M8.3,8.383287e-05,2017-04-02T08:02:00.000,20.0,1.4673271380161168e-06
7,264.0,201704021250.0,544409820.0,2.7885198505828157e-05,2.297653009009082e-05,2.3274504201253876e-05,2.0062450857949443e-05,True,True,True,True,True,M3.6,3.6941372e-05,2017-04-02T13:00:00.000,10.0,9.497819064563373e-07
8,267.0,201704021814.0,544430040.0,2.9233169698272832e-05,2.810993646562565e-05,3.0959065043134615e-05,2.866167778847739e-05,True,True,True,True,True,M3.3,3.3523487e-05,2017-04-02T18:38:00.000,24.0,1.9914496078854427e-06
9,269.0,201704022026.0,544437120.0,2.6342375349486247e-05,1.6465693988720886e-05,1.6539943317184225e-05,1.1475039173092227e-05,True,True,True,True,True,M8.8,8.884683e-05,2017-04-02T20:33:00.000,7.0,5.601001703325892e-06
10,287.0,201704031417.0,544501560.0,4.7448040277231485e-05,3.2007370464270934e-05,3.371897400938906e-05,2.206309545726981e-05,True,True,True,True,True,,9.061434e-05,2017-04-03T14:28:00.000,11.0,5.51786024516332e-06
12,332.0,201704061202.0,544752300.0,8.047770279517863e-06,6.2755866565566976e-06,6.504726115963422e-06,5.164942649571458e-06,True,True,True,True,True,C8.6,8.650007e-06,2017-04-06T12:10:00.000,8.0,3.1955863732946455e-07
13,336.0,201704070007.0,544796640.0,2.557179868745152e-06,2.1334419670893112e-06,2.1653931980836205e-06,1.8741425265034195e-06,False,False,False,False,False,C4.2,4.2630754e-06,2017-04-07T00:25:00.000,18.0,2.8043945121680736e-07
14,342.0,201704071942.0,544866480.0,1.80276788341871e-06,1.791215595403628e-06,1.80276788341871e-06,1.777899910848646e-06,False,False,False,False,True,C6.7,6.7087285e-06,2017-04-07T19:49:00.000,7.0,1.448794506586637e-07
15,402.0,201704180924.0,545780340.0,4.332041498855688e-06,3.766014515349525e-06,3.9224983083840925e-06,3.2872933388716774e-06,False,False,False,False,True,C5.1,5.162689e-06,2017-04-18T09:41:00.000,17.0,1.1838033486810673e-07
16,404.0,201704181915.0,545817180.0,8.344752131961286e-06,8.01663554739207e-06,8.423471626883838e-06,8.266018085123505e-06,True,True,True,True,True,C8.4,8.455594e-06,2017-04-18T20:10:00.000,55.0,2.1760841661944141e-07
17,496.0,201705281920.0,549271620.0,3.0679007068101782e-06,2.513816298232996e-06,2.551281113483128e-06,2.1927082798356423e-06,False,False,False,False,True,C5.1,5.1908414e-06,2017-05-28T19:28:00.000,8.0,1.421961002279204e-07
