,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
18,[7.5e-06 2.5e-07 1.0e-02 2.0e+48],7578,13,383,4,521,333,11,1,0.9699248120300752,0.30689102564102566,0.5355704697986577
19,[7.5e-06 3.0e-07 1.0e-02 2.0e+48],7578,13,383,4,521,333,11,1,0.9699248120300752,0.30689102564102566,0.5355704697986577
20,[7.5e-06 3.5e-07 1.0e-02 2.0e+48],7578,13,384,4,521,332,11,1,0.97,0.3076923076923077,0.5369127516778524
21,[7.5e-06 4.0e-07 1.0e-02 2.0e+48],7578,13,384,4,521,332,11,1,0.97,0.3076923076923077,0.5369127516778524
22,[7.5e-06 4.5e-07 1.0e-02 2.0e+48],7579,12,386,4,521,330,11,1,0.9701492537313433,0.3092948717948718,0.5403225806451613
23,[7.5e-06 5.0e-07 1.0e-02 2.0e+48],7579,12,385,4,521,331,11,1,0.970074812967581,0.30849358974358976,0.5389784946236559
42,[7.5e-06 2.5e-07 5.0e-02 2.0e+48],7578,13,385,4,521,331,11,1,0.970074812967581,0.30849358974358976,0.538255033557047
43,[7.5e-06 3.0e-07 5.0e-02 2.0e+48],7578,13,385,4,521,331,11,1,0.970074812967581,0.30849358974358976,0.538255033557047
44,[7.5e-06 3.5e-07 5.0e-02 2.0e+48],7578,13,385,4,521,331,11,1,0.970074812967581,0.30849358974358976,0.538255033557047
45,[7.5e-06 4.0e-07 5.0e-02 2.0e+48],7578,13,385,4,521,331,11,1,0.970074812967581,0.30849358974358976,0.538255033557047
46,[7.5e-06 4.5e-07 5.0e-02 2.0e+48],7579,12,386,4,521,330,11,1,0.9701492537313433,0.3092948717948718,0.5403225806451613
47,[7.5e-06 5.0e-07 5.0e-02 2.0e+48],7579,12,385,4,521,331,11,1,0.970074812967581,0.30849358974358976,0.5389784946236559
66,[7.5e-06 2.5e-07 1.0e-01 2.0e+48],7580,11,378,4,563,296,11,1,0.9695431472081218,0.30288461538461536,0.5620542082738944
67,[7.5e-06 3.0e-07 1.0e-01 2.0e+48],7580,11,378,4,563,296,11,1,0.9695431472081218,0.30288461538461536,0.5620542082738944
68,[7.5e-06 3.5e-07 1.0e-01 2.0e+48],7580,11,378,4,563,296,11,1,0.9695431472081218,0.30288461538461536,0.5620542082738944
69,[7.5e-06 4.0e-07 1.0e-01 2.0e+48],7580,11,378,4,563,296,11,1,0.9695431472081218,0.30288461538461536,0.5620542082738944
70,[7.5e-06 4.5e-07 1.0e-01 2.0e+48],7580,11,378,4,563,296,11,1,0.9695431472081218,0.30288461538461536,0.5620542082738944
71,[7.5e-06 5.0e-07 1.0e-01 2.0e+48],7580,11,378,4,563,296,11,1,0.9695431472081218,0.30288461538461536,0.5620542082738944
72,[1.0e-06 2.5e-07 1.5e-01 2.0e+48],7569,19,322,6,718,183,25,2,0.923943661971831,0.25801282051282054,0.6373429084380611
73,[1.0e-06 3.0e-07 1.5e-01 2.0e+48],7569,19,322,6,718,183,25,2,0.923943661971831,0.25801282051282054,0.6373429084380611
74,[1.0e-06 3.5e-07 1.5e-01 2.0e+48],7569,19,322,6,718,183,25,2,0.923943661971831,0.25801282051282054,0.6373429084380611
75,[1.0e-06 4.0e-07 1.5e-01 2.0e+48],7569,19,322,6,718,183,25,2,0.923943661971831,0.25801282051282054,0.6373429084380611
76,[1.0e-06 4.5e-07 1.5e-01 2.0e+48],7569,19,322,6,718,183,25,2,0.923943661971831,0.25801282051282054,0.6373429084380611
77,[1.0e-06 5.0e-07 1.5e-01 2.0e+48],7569,19,322,6,718,183,25,2,0.923943661971831,0.25801282051282054,0.6373429084380611
