,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.0e-06 2.5e-07 1.0e-02 2.0e+48],6879,522,631,15,11,388,218,180,0.6187739463601533,0.5056089743589743,0.534288638689867
1,[1.e-06 3.e-07 1.e-02 2.e+48],7056,412,633,15,19,383,213,113,0.6652977412731006,0.5072115384615384,0.5505935556811759
2,[1.0e-06 3.5e-07 1.0e-02 2.0e+48],7207,312,625,12,28,400,195,65,0.7101449275362319,0.500801282051282,0.5574891236793039
3,[1.e-06 4.e-07 1.e-02 2.e+48],7315,243,615,10,52,409,172,28,0.7575757575757576,0.49278846153846156,0.5585646580907244
4,[1.0e-06 4.5e-07 1.0e-02 2.0e+48],7406,173,611,8,98,394,145,9,0.8007761966364813,0.4895833333333333,0.576865671641791
5,[1.e-06 5.e-07 1.e-02 2.e+48],7473,112,589,7,134,410,115,4,0.8335664335664336,0.4719551282051282,0.5780113177041228
6,[2.5e-06 2.5e-07 1.0e-02 2.0e+48],6879,522,631,15,11,388,218,180,0.6187739463601533,0.5056089743589743,0.534288638689867
7,[2.5e-06 3.0e-07 1.0e-02 2.0e+48],7056,412,633,15,19,383,213,113,0.6652977412731006,0.5072115384615384,0.5505935556811759
8,[2.5e-06 3.5e-07 1.0e-02 2.0e+48],7207,312,625,12,28,400,195,65,0.7101449275362319,0.500801282051282,0.5574891236793039
9,[2.5e-06 4.0e-07 1.0e-02 2.0e+48],7315,243,615,10,52,409,172,28,0.7575757575757576,0.49278846153846156,0.5585646580907244
10,[2.5e-06 4.5e-07 1.0e-02 2.0e+48],7406,173,611,8,98,394,145,9,0.8007761966364813,0.4895833333333333,0.576865671641791
11,[2.5e-06 5.0e-07 1.0e-02 2.0e+48],7473,112,589,7,134,410,115,4,0.8335664335664336,0.4719551282051282,0.5780113177041228
12,[5.0e-06 2.5e-07 1.0e-02 2.0e+48],7545,41,557,7,15,588,88,3,0.8610687022900764,0.4463141025641026,0.5101246105919003
13,[5.e-06 3.e-07 1.e-02 2.e+48],7545,41,562,7,22,577,87,3,0.8634294385432474,0.45032051282051283,0.5160532498042286
14,[5.0e-06 3.5e-07 1.0e-02 2.0e+48],7548,38,569,7,31,562,86,3,0.8661654135338346,0.45592948717948717,0.525691699604743
15,[5.e-06 4.e-07 1.e-02 2.e+48],7551,35,574,7,56,535,83,3,0.8710644677661169,0.4599358974358974,0.5392077607113985
16,[5.0e-06 4.5e-07 1.0e-02 2.0e+48],7558,29,577,7,101,489,81,2,0.8755622188905547,0.4623397435897436,0.5628691983122363
17,[5.e-06 5.e-07 1.e-02 2.e+48],7558,29,567,7,138,465,78,2,0.8776758409785933,0.4543269230769231,0.5696864111498258
24,[1.0e-06 2.5e-07 5.0e-02 2.0e+48],6879,522,639,15,11,380,218,180,0.6216730038022814,0.5120192307692307,0.5383828045035824
25,[1.e-06 3.e-07 5.e-02 2.e+48],7056,412,639,15,19,377,213,113,0.6673469387755102,0.5120192307692307,0.5539853024307518
26,[1.0e-06 3.5e-07 5.0e-02 2.0e+48],7207,312,629,12,28,396,195,65,0.7114317425083241,0.5040064102564102,0.559975139838409
27,[1.e-06 4.e-07 5.e-02 2.e+48],7315,243,616,10,52,408,172,28,0.7578692493946732,0.4935897435897436,0.5592417061611374
28,[1.0e-06 4.5e-07 5.0e-02 2.0e+48],7406,173,611,8,98,394,145,9,0.8007761966364813,0.4895833333333333,0.576865671641791
29,[1.e-06 5.e-07 5.e-02 2.e+48],7473,112,589,7,134,410,115,4,0.8335664335664336,0.4719551282051282,0.5780113177041228
30,[2.5e-06 2.5e-07 5.0e-02 2.0e+48],6879,522,639,15,11,380,218,180,0.6216730038022814,0.5120192307692307,0.5383828045035824
31,[2.5e-06 3.0e-07 5.0e-02 2.0e+48],7056,412,639,15,19,377,213,113,0.6673469387755102,0.5120192307692307,0.5539853024307518
32,[2.5e-06 3.5e-07 5.0e-02 2.0e+48],7207,312,629,12,28,396,195,65,0.7114317425083241,0.5040064102564102,0.559975139838409
33,[2.5e-06 4.0e-07 5.0e-02 2.0e+48],7315,243,616,10,52,408,172,28,0.7578692493946732,0.4935897435897436,0.5592417061611374
