,Flare_Number,Flare_ID,Trigger_Time,Cancelled?,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux,Flare_C5_10min
1,1,201702090130,539875500.0,True,2.2229490070913016e-07,1.667139741812207e-07,4.7284700599448115e-07,2.618253631681e-07,False,False,False,False,False,False,B4.3,4.3950894e-07,2017-02-09T01:40:00.000,10.0,1.0725744914452662e-07,False
2,7,201702090526,539889420.0,True,1.1624398155163362e-07,1.1052834025804259e-07,1.3274147647734935e-07,1.1689129308933843e-07,False,False,False,False,False,False,B8.8,8.8815443e-07,2017-02-09T05:42:00.000,16.0,9.331724015737564e-08,False
3,11,201702090739,539899260.0,True,2.2003061417308345e-07,2.137463752660551e-07,2.2003061417308345e-07,2.1111860348810296e-07,False,False,False,False,False,False,B3.2,3.2729199e-07,2017-02-09T07:43:00.000,4.0,1.8649160438144463e-07,False
4,12,201702090845,539902800.0,True,1.0190393595621572e-07,9.602557327070826e-08,9.431619929500812e-08,9.341388107486637e-08,False,False,False,False,False,False,B1.7,1.7483553e-07,2017-02-09T08:53:00.000,8.0,1.0172779241202079e-07,False
5,13,201702090929,539904060.0,True,1.0335036648712048e-07,9.342502949039044e-08,4.5085431565894396e-07,1.6671602054429968e-07,False,False,False,False,False,False,B4.2,4.2583144e-07,2017-02-09T09:37:00.000,8.0,6.312729539104112e-08,False
6,14,201702091027,539907600.0,True,1.217681671050741e-07,1.0965887753400239e-07,2.1519151971460815e-07,1.3976840307350358e-07,False,False,False,False,False,False,B1.8,1.819655e-07,2017-02-09T10:35:00.000,8.0,6.872252100720289e-08,False
7,17,201702091152,539912760.0,False,2.0394321609273902e-07,1.4600705355860555e-07,2.3433689477769803e-07,1.8767207166092703e-07,False,False,False,False,False,False,B2.1,2.180733e-07,2017-02-09T12:04:00.000,12.0,5.344861619960284e-08,False
8,18,201702091234,539916120.0,True,1.7504494564946071e-07,1.666290927460068e-07,1.6709093131339614e-07,1.616910054735854e-07,False,False,False,False,False,False,B1.7,1.7881321e-07,2017-02-09T12:40:00.000,6.0,1.382520906645368e-07,False
9,20,201702121831,540196080.0,True,1.6317927986619907e-07,1.5509058925999852e-07,1.6317927986619907e-07,1.5553472110241273e-07,False,False,False,False,False,False,B1.3,1.3096634e-07,2017-02-12T18:39:00.000,8.0,8.65900062763103e-08,False
10,21,201702151231,540433200.0,True,4.364872197015757e-08,4.163725009220798e-08,5.352129761604374e-08,4.548770604628771e-08,False,False,False,False,False,False,B3.0,3.0003866e-07,2017-02-15T12:42:00.000,11.0,3.593305919480372e-08,False
11,22,201702170925,540595560.0,False,1.8461257411672705e-07,1.4706910178574617e-07,1.4814254711836838e-07,1.2644257196825492e-07,False,False,False,False,False,False,B2.0,2.007316e-07,2017-02-17T09:32:00.000,7.0,5.742113273754512e-08,False
12,23,201702170952,540597060.0,True,1.0325661037313694e-07,9.47894776004432e-08,9.354923236060131e-08,9.101023579205503e-08,False,False,False,False,False,False,B1.5,1.5604955e-07,2017-02-17T09:56:00.000,4.0,8.840636667173385e-08,False
13,24,201702171506,540615900.0,True,1.6604666086550424e-07,1.5683239951158612e-07,1.6013883907817217e-07,1.5108258821783238e-07,False,False,False,False,False,False,B1.1,1.1607834e-07,2017-02-17T15:12:00.000,6.0,7.915277677739141e-08,False
14,25,201702172314,540646260.0,True,1.2054438514041976e-07,1.1675400202193487e-07,1.1795269472258951e-07,1.1352718587431809e-07,False,False,False,False,False,False,B1.3,1.3231882e-07,2017-02-17T23:26:00.000,12.0,8.149939390023064e-08,False
15,26,201702190532,540754020.0,True,4.1701906638991204e-07,3.3466912441326713e-07,4.382862073271099e-07,3.8710413718945347e-07,False,False,False,False,False,False,B4.1,4.1584468e-07,2017-02-19T05:41:00.000,9.0,2.450656495511794e-07,False
16,27,201702190858,540766740.0,False,4.706707557033951e-07,4.574070260332519e-07,4.6527230779247475e-07,4.5710271479038056e-07,False,False,False,False,False,False,B4.5,4.53043e-07,2017-02-19T09:06:00.000,8.0,3.274252264873212e-07,False
17,28,201702190910,540766740.0,False,4.706707557033951e-07,4.574070260332519e-07,4.6527230779247475e-07,4.5710271479038056e-07,False,False,False,False,False,False,B4.7,4.77281e-07,2017-02-19T09:27:00.000,17.0,4.272601756838412e-07,False
18,29,201702191646,540794040.0,False,2.735750399551762e-07,2.608110207802383e-07,3.3352631589878e-07,2.6904487526735466e-07,False,False,False,False,False,False,B3.4,3.4026195e-07,2017-02-19T16:50:00.000,4.0,2.0124851118907827e-07,False
19,30,201702191720,540796080.0,True,2.488195605110377e-07,2.473288134297036e-07,2.6066089731102693e-07,2.498169635600789e-07,False,False,False,False,False,False,B2.8,2.8846893e-07,2017-02-19T17:25:00.000,5.0,1.8305622973002755e-07,False
