,Flare_Number,Flare_ID,Trigger_Time,Cancelled?,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux,Flare_C5_10min
0,0,201702090041,539871960.0,True,1.570845995502168e-07,1.423234152753139e-07,1.570845995502168e-07,1.4793114644362504e-07,False,False,False,False,False,False,B3.8,3.8009338e-07,2017-02-09T00:50:00.000,9.0,1.1591767901109051e-07,False
1,1,201702090130,539874900.0,True,1.1929117249565024e-07,1.1500907959316464e-07,1.298855067943805e-07,1.200136381385164e-07,False,False,False,False,False,False,B4.3,4.3950894e-07,2017-02-09T01:40:00.000,10.0,1.0725744914452662e-07,False
2,2,201702090145,539875800.0,False,4.7284700599448115e-07,3.2351377399209014e-07,4.7284700599448115e-07,2.7868239271811035e-07,False,False,False,False,False,False,C1.7,1.7020639e-06,2017-02-09T01:51:00.000,6.0,1.7688651610114903e-07,False
3,3,201702090231,539878560.0,True,2.831364156463678e-07,2.5138328396678844e-07,2.4741888182688854e-07,2.376715855234579e-07,False,False,False,False,False,False,B3.2,3.2963194e-07,2017-02-09T02:40:00.000,9.0,2.0761093821874965e-07,False
4,4,201702090255,539880000.0,True,2.760091035725054e-07,2.52869966743674e-07,2.5180358420584525e-07,2.401754670700029e-07,False,False,False,False,False,False,B3.9,3.911416e-07,2017-02-09T02:59:00.000,4.0,1.9707523790657433e-07,False
5,5,201702090303,539880480.0,False,4.144089587043709e-07,3.3628438700361585e-07,4.144089587043709e-07,3.761632285659289e-07,False,False,False,False,False,False,B8.7,8.738849e-07,2017-02-09T03:09:00.000,6.0,3.3869207527459366e-07,False
6,6,201702090321,539881560.0,False,6.815978395025013e-07,5.405806291491899e-07,5.127723170517129e-07,4.908985715701419e-07,False,False,False,False,False,False,C2.0,2.05077e-06,2017-02-09T03:26:00.000,5.0,4.693983726156148e-07,False
7,7,201702090526,539889060.0,False,1.159371549874777e-07,1.1278022071792293e-07,1.159371549874777e-07,1.1247035303085795e-07,False,False,False,False,False,False,B8.8,8.8815443e-07,2017-02-09T05:42:00.000,16.0,9.331724015737564e-08,False
8,8,201702090603,539891280.0,True,3.1353701501757314e-07,2.478680301010172e-07,2.5212489163095597e-07,2.1164606778256712e-07,False,False,False,False,False,False,B5.2,5.298181e-07,2017-02-09T06:12:00.000,9.0,1.7459143464293447e-07,False
9,9,201702090628,539892780.0,True,2.829094967182755e-07,2.657448590070999e-07,2.7858843054673343e-07,2.540984667120938e-07,False,False,False,False,False,False,B4.5,4.5129113e-07,2017-02-09T06:35:00.000,7.0,2.1805381322792527e-07,False
10,10,201702090651,539894160.0,True,2.7427219606579456e-07,2.6760366722555773e-07,2.672163645911496e-07,2.616145593492547e-07,False,False,False,False,False,False,C1.8,1.8020371e-06,2017-02-09T07:02:00.000,11.0,2.3858072495386295e-07,False
11,11,201702090739,539897040.0,False,2.4651700414324296e-07,2.309560613866779e-07,2.3546635929960757e-07,2.1725462318045174e-07,False,False,False,False,False,False,B3.2,3.2729199e-07,2017-02-09T07:43:00.000,4.0,1.8649160438144463e-07,False
12,12,201702090845,539901000.0,False,1.5213286985726882e-07,1.4114972657353064e-07,1.4012708504651528e-07,1.3525460929031397e-07,False,False,False,False,False,False,B1.7,1.7483553e-07,2017-02-09T08:53:00.000,8.0,1.0172779241202079e-07,False
13,13,201702090929,539903640.0,True,9.740169559790957e-08,9.242346976634508e-08,9.740169559790957e-08,9.11030326733453e-08,False,False,False,False,False,False,B4.2,4.2583144e-07,2017-02-09T09:37:00.000,8.0,6.312729539104112e-08,False
14,14,201702091027,539907120.0,False,9.038051018706028e-08,8.856270738988314e-08,8.892421732298317e-08,8.759297998039983e-08,False,False,False,False,False,False,B1.8,1.819655e-07,2017-02-09T10:35:00.000,8.0,6.872252100720289e-08,False
15,15,201702091052,539908620.0,False,9.099714759486233e-08,8.767135994958153e-08,8.918570415517024e-08,8.624110847677002e-08,False,False,False,False,False,False,B1.2,1.2517634e-07,2017-02-09T11:00:00.000,8.0,4.877540149550441e-08,False
16,16,201702091103,539909280.0,True,1.58463521415797e-07,1.3605337301214604e-07,1.58463521415797e-07,1.441746917407727e-07,False,False,False,False,False,False,B1.5,1.5826988e-07,2017-02-09T11:08:00.000,5.0,9.63527924113805e-08,False
