,Flare_Number,Flare_ID,Trigger_Time,Cancelled?,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux,Flare_C5_10min
0,0,201702090041,539872080.0,True,1.570845995502168e-07,1.4793114644362504e-07,1.570845995502168e-07,1.5054637003686366e-07,False,False,False,False,False,False,B3.8,3.8009338e-07,2017-02-09T00:50:00.000,9.0,1.1591767901109051e-07,False
1,1,201702090130,539875740.0,False,4.7284700599448115e-07,3.1731539706925105e-07,4.7284700599448115e-07,3.168130717767781e-07,False,False,False,False,False,False,B4.3,4.3950894e-07,2017-02-09T01:40:00.000,10.0,1.0725744914452662e-07,False
2,2,201702090145,539876220.0,False,1.4804901411480387e-06,5.523332333723374e-07,1.732371515572595e-06,1.0649356454450754e-06,False,False,False,False,False,False,C1.7,1.7020639e-06,2017-02-09T01:51:00.000,6.0,1.7688651610114903e-07,False
3,3,201702090231,539879700.0,False,3.2769946756161517e-07,3.0524833505296556e-07,3.0793026439823734e-07,2.832228744864551e-07,False,False,False,False,False,False,B3.2,3.2963194e-07,2017-02-09T02:40:00.000,9.0,2.0761093821874965e-07,False
4,4,201702090255,539881020.0,False,8.910060955713561e-07,6.938889214325172e-07,8.910060955713561e-07,7.773774655106536e-07,False,False,False,False,False,False,B3.9,3.911416e-07,2017-02-09T02:59:00.000,4.0,1.9707523790657433e-07,False
5,5,201702090303,539881020.0,False,8.910060955713561e-07,6.938889214325172e-07,8.910060955713561e-07,7.773774655106536e-07,False,False,False,False,False,False,B8.7,8.738849e-07,2017-02-09T03:09:00.000,6.0,3.3869207527459366e-07,False
6,6,201702090321,539881620.0,False,5.756342034146655e-07,5.070548354524362e-07,5.155396252121136e-07,4.913597990707785e-07,False,False,False,False,False,False,C2.0,2.05077e-06,2017-02-09T03:26:00.000,5.0,4.693983726156148e-07,False
7,7,201702090526,539889480.0,True,1.23233178328519e-07,1.1254099518964722e-07,1.4912930623722787e-07,1.237850852930933e-07,False,False,False,False,False,False,B8.8,8.8815443e-07,2017-02-09T05:42:00.000,16.0,9.331724015737564e-08,False
8,8,201702090603,539892300.0,False,5.183925964047376e-07,3.4107037549802044e-07,3.3027191648216103e-07,2.7134137781104073e-07,False,False,False,False,False,False,B5.2,5.298181e-07,2017-02-09T06:12:00.000,9.0,1.7459143464293447e-07,False
9,9,201702090628,539893800.0,False,3.6396357927515055e-07,3.128866126189678e-07,3.1300439218284737e-07,2.87246706420774e-07,False,False,False,False,False,False,B4.5,4.5129113e-07,2017-02-09T06:35:00.000,7.0,2.1805381322792527e-07,False
10,10,201702090651,539895420.0,False,7.68177699228545e-07,6.144633744042949e-07,6.071902589610545e-07,5.434104082269187e-07,False,False,False,False,False,False,C1.8,1.8020371e-06,2017-02-09T07:02:00.000,11.0,2.3858072495386295e-07,False
11,11,201702090739,539898060.0,False,3.1202768013827153e-07,2.9178249860706273e-07,2.950901603071543e-07,2.7470863983580784e-07,False,False,False,False,False,False,B3.2,3.2729199e-07,2017-02-09T07:43:00.000,4.0,1.8649160438144463e-07,False
12,12,201702090845,539902020.0,False,1.6506655242665147e-07,1.4088453781369026e-07,1.3792713104976428e-07,1.3435810330975073e-07,False,False,False,False,False,False,B1.7,1.7483553e-07,2017-02-09T08:53:00.000,8.0,1.0172779241202079e-07,False
13,13,201702090929,539904240.0,False,4.5459435682460025e-07,2.2663557786017918e-07,4.5459435682460025e-07,2.756276842319494e-07,False,False,False,False,False,False,B4.2,4.2583144e-07,2017-02-09T09:37:00.000,8.0,6.312729539104112e-08,False
14,14,201702091027,539908140.0,False,1.1814722000735856e-07,1.05020127705302e-07,1.0755672974482877e-07,9.7400651100088e-08,False,False,False,False,False,False,B1.8,1.819655e-07,2017-02-09T10:35:00.000,8.0,6.872252100720289e-08,False
15,15,201702091052,539909760.0,False,1.879359388112789e-07,1.6879162956229266e-07,1.879359388112789e-07,1.8472833573923708e-07,False,False,False,False,False,False,B1.2,1.2517634e-07,2017-02-09T11:00:00.000,8.0,4.877540149550441e-08,False
16,16,201702091103,539909760.0,False,1.879359388112789e-07,1.6879162956229266e-07,1.879359388112789e-07,1.8472833573923708e-07,False,False,False,False,False,False,B1.5,1.5826988e-07,2017-02-09T11:08:00.000,5.0,9.63527924113805e-08,False
17,17,201702091152,539913300.0,False,2.5309847728749446e-07,2.404350425422308e-07,2.465469606249826e-07,2.3005672744602634e-07,False,False,False,False,False,False,B2.1,2.180733e-07,2017-02-09T12:04:00.000,12.0,5.344861619960284e-08,False
18,18,201702091234,539915760.0,False,2.0934636779657012e-07,1.9383638516501378e-07,1.9517440819072363e-07,1.8286823433300015e-07,False,False,False,False,False,False,B1.7,1.7881321e-07,2017-02-09T12:40:00.000,6.0,1.382520906645368e-07,False
19,19,201702120424,540144660.0,True,1.1105996122751094e-07,1.0559271146348692e-07,1.1108193120890064e-07,1.0379178405628409e-07,False,False,False,False,False,False,B1.7,1.7633809e-07,2017-02-12T04:34:00.000,10.0,7.49216653161966e-08,False
20,20,201702121831,540195540.0,False,1.1824759837963938e-07,1.1525949616952857e-07,1.273892138442534e-07,1.1797177990047203e-07,False,False,False,False,False,False,B1.3,1.3096634e-07,2017-02-12T18:39:00.000,8.0,8.65900062763103e-08,False
21,21,201702151231,540433440.0,False,1.0180252019154068e-07,6.023695675594354e-08,1.4450944263444399e-07,9.098270226104432e-08,False,False,False,False,False,False,B3.0,3.0003866e-07,2017-02-15T12:42:00.000,11.0,3.593305919480372e-08,False
22,22,201702170925,540594660.0,False,6.321274526044363e-08,5.991643092784216e-08,5.976412609243198e-08,5.873361530461807e-08,False,False,False,False,False,False,B2.0,2.007316e-07,2017-02-17T09:32:00.000,7.0,5.742113273754512e-08,False
23,23,201702170952,540597240.0,False,9.354923236060131e-08,9.081599472438029e-08,9.356048025210839e-08,9.116573096434877e-08,False,False,False,False,False,False,B1.5,1.5604955e-07,2017-02-17T09:56:00.000,4.0,8.840636667173385e-08,False
24,24,201702171506,540615180.0,False,1.329856900156301e-07,1.2571543095418747e-07,1.5118556007109873e-07,1.3313992042185419e-07,False,False,False,False,False,False,B1.1,1.1607834e-07,2017-02-17T15:12:00.000,6.0,7.915277677739141e-08,False
25,25,201702172314,540645540.0,False,1.3956747579868534e-07,1.3539880683310912e-07,1.3603740001144615e-07,1.3245106345038948e-07,False,False,False,False,False,False,B1.3,1.3231882e-07,2017-02-17T23:26:00.000,12.0,8.149939390023064e-08,False
