,Flare_Number,Flare_ID,Trigger_Time,Cancelled?,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux,Flare_C5_10min
0,0,201702090041,539872620.0,False,4.1316309307148913e-07,3.3191727766279655e-07,4.1316309307148913e-07,3.7108145534148207e-07,False,False,False,False,False,False,B3.8,3.8009338e-07,2017-02-09T00:50:00.000,9.0,1.1591767901109051e-07,False
1,1,201702090130,539875560.0,False,3.9403482787747635e-07,2.0802288247523393e-07,4.7284700599448115e-07,2.9716707672378107e-07,False,False,False,False,False,False,B4.3,4.3950894e-07,2017-02-09T01:40:00.000,10.0,1.0725744914452662e-07,False
2,2,201702090145,539876580.0,True,1.732371515572595e-06,1.30875707782252e-06,1.4834084822723526e-06,9.623735195418703e-07,False,False,False,False,False,False,C1.7,1.7020639e-06,2017-02-09T01:51:00.000,6.0,1.7688651610114903e-07,False
3,3,201702090231,539880900.0,False,8.35144874145044e-07,5.378762466534681e-07,8.910060955713561e-07,6.690740974590881e-07,False,False,False,False,False,False,B3.2,3.2963194e-07,2017-02-09T02:40:00.000,9.0,2.0761093821874965e-07,False
4,4,201702090255,539880900.0,False,8.35144874145044e-07,5.378762466534681e-07,8.910060955713561e-07,6.938889214325172e-07,False,False,False,False,False,False,B3.9,3.911416e-07,2017-02-09T02:59:00.000,4.0,1.9707523790657433e-07,False
5,5,201702090303,539880900.0,False,8.35144874145044e-07,5.378762466534681e-07,8.910060955713561e-07,6.938889214325172e-07,False,False,False,False,False,False,B8.7,8.738849e-07,2017-02-09T03:09:00.000,6.0,3.3869207527459366e-07,False
6,6,201702090321,539882520.0,False,9.476182754042384e-07,8.32911439374584e-07,9.476182754042384e-07,7.903665846242802e-07,False,False,False,False,False,False,C2.0,2.05077e-06,2017-02-09T03:26:00.000,5.0,4.693983726156148e-07,False
7,7,201702090526,539890140.0,True,9.057353054231498e-07,8.553036536795844e-07,9.057353054231498e-07,8.853332360558852e-07,False,False,False,False,False,False,B8.8,8.8815443e-07,2017-02-09T05:42:00.000,16.0,9.331724015737564e-08,False
8,8,201702090603,539892360.0,False,4.240486362050433e-07,2.9798556511195784e-07,2.749587508787954e-07,2.6124300234187103e-07,False,False,False,False,False,False,B5.2,5.298181e-07,2017-02-09T06:12:00.000,9.0,1.7459143464293447e-07,False
9,9,201702090628,539893440.0,True,4.724705888747849e-07,4.093143104455521e-07,4.724705888747849e-07,4.06762381999215e-07,False,False,False,False,False,False,B4.5,4.5129113e-07,2017-02-09T06:35:00.000,7.0,2.1805381322792527e-07,False
10,10,201702090651,539895240.0,False,1.8207016410087817e-06,1.0432619319544756e-06,9.628541874917573e-07,6.870884590171045e-07,False,False,False,False,False,False,C1.8,1.8020371e-06,2017-02-09T07:02:00.000,11.0,2.3858072495386295e-07,False
11,11,201702090739,539898360.0,False,2.801785115025268e-07,2.477275131695933e-07,2.4071036364148313e-07,2.3618707700734376e-07,False,False,False,False,False,False,B3.2,3.2729199e-07,2017-02-09T07:43:00.000,4.0,1.8649160438144463e-07,False
12,12,201702090845,539902500.0,False,1.2775720392710355e-07,1.1294605428702198e-07,1.1159306723129703e-07,1.0283674356514894e-07,False,False,False,False,False,False,B1.7,1.7483553e-07,2017-02-09T08:53:00.000,8.0,1.0172779241202079e-07,False
13,13,201702090929,539904120.0,False,1.647684655381454e-07,1.0672321337779067e-07,4.5459435682460025e-07,2.2663557786017918e-07,False,False,False,False,False,False,B4.2,4.2583144e-07,2017-02-09T09:37:00.000,8.0,6.312729539104112e-08,False
14,14,201702091027,539907720.0,False,2.1519151971460815e-07,1.3976840307350358e-07,2.1519151971460815e-07,1.4464092146226903e-07,False,False,False,False,False,False,B1.8,1.819655e-07,2017-02-09T10:35:00.000,8.0,6.872252100720289e-08,False
15,15,201702091052,539909160.0,True,1.5744444681331515e-07,1.147378512200703e-07,1.58463521415797e-07,1.3605337301214604e-07,False,False,False,False,False,False,B1.2,1.2517634e-07,2017-02-09T11:00:00.000,8.0,4.877540149550441e-08,False
16,16,201702091103,539909640.0,False,1.8547218871844962e-07,1.5057246116612077e-07,1.879359388112789e-07,1.6879162956229266e-07,False,False,False,False,False,False,B1.5,1.5826988e-07,2017-02-09T11:08:00.000,5.0,9.63527924113805e-08,False
17,17,201702091152,539912520.0,True,1.0866595800962386e-07,9.420481461575037e-08,1.561491274060245e-07,1.1167799129907507e-07,False,False,False,False,False,False,B2.1,2.180733e-07,2017-02-09T12:04:00.000,12.0,5.344861619960284e-08,False
18,18,201702091234,539916180.0,True,1.7153047338069882e-07,1.6356176502085873e-07,1.6356591459043557e-07,1.601224113301214e-07,False,False,False,False,False,False,B1.7,1.7881321e-07,2017-02-09T12:40:00.000,6.0,1.382520906645368e-07,False
19,19,201702120424,540145620.0,False,1.9526592609508953e-07,1.6383826562105241e-07,1.7028993681833526e-07,1.4072345777549344e-07,False,False,False,False,False,False,B1.7,1.7633809e-07,2017-02-12T04:34:00.000,10.0,7.49216653161966e-08,False
20,20,201702121831,540195840.0,True,1.5008757259238337e-07,1.3221978178989957e-07,1.6317927986619907e-07,1.457490128586869e-07,False,False,False,False,False,False,B1.3,1.3096634e-07,2017-02-12T18:39:00.000,8.0,8.65900062763103e-08,False
21,21,201702151231,540433320.0,False,5.352129761604374e-08,4.548770604628771e-08,1.0180252019154068e-07,6.023695675594354e-08,False,False,False,False,False,False,B3.0,3.0003866e-07,2017-02-15T12:42:00.000,11.0,3.593305919480372e-08,False
