,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 5.e+00],4034,1184,611,24,5,284,348,2354,0.1902906802517231,0.6872294372294372,0.6944849115504682
1,[1.e-06 1.e+01],4071,1139,692,23,7,231,318,2363,0.21054181389870436,0.7502623294858342,0.7125472093999161
2,[1.e-06 2.e+01],4140,1459,725,27,20,219,284,1970,0.25016633399866933,0.7588294651866802,0.6417591801878736
3,[1.e-06 3.e+01],4980,1406,667,16,99,239,243,1194,0.32216981132075473,0.6689520078354554,0.5630810092961488
4,[1.e-06 4.e+01],5876,992,552,14,266,214,216,714,0.3783422459893048,0.5411089866156787,0.5536639526276832
5,[1.e-06 5.e+01],6498,645,457,9,406,218,167,444,0.43268337975858867,0.42752293577981654,0.5551546391752578
6,[2.5e-06 5.0e+00],6061,778,697,26,5,240,306,731,0.4107954545454545,0.746900826446281,0.6335493160547156
7,[2.5e-06 1.0e+01],6083,759,721,23,7,224,296,731,0.4201016374929418,0.7630769230769231,0.6430646332607117
8,[2.5e-06 2.0e+01],6142,804,722,27,20,227,279,623,0.45366444579043,0.7520080321285141,0.6155853840417599
9,[2.5e-06 3.0e+01],6421,754,658,18,103,249,238,403,0.5132877752467729,0.6575875486381323,0.5676724137931034
10,[2.5e-06 4.0e+01],6785,552,542,15,269,223,214,244,0.548768472906404,0.5309818875119161,0.5670391061452514
11,[2.5e-06 5.0e+01],7047,380,444,10,407,234,163,159,0.5850515463917526,0.4146118721461187,0.5582733812949641
12,[5.e-06 5.e+00],7552,33,612,9,5,545,86,2,0.8758815232722144,0.5303159692570453,0.5508935508935509
13,[5.e-06 1.e+01],7553,32,615,9,16,529,88,2,0.8739495798319328,0.5337895637296834,0.56
14,[5.e-06 2.e+01],7559,28,605,8,40,515,88,1,0.8732193732193733,0.5248287671232876,0.563855421686747
15,[5.e-06 3.e+01],7564,25,548,6,143,482,75,1,0.8793650793650793,0.46988973706530957,0.554089709762533
