,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 5.e-07],4466,1540,595,20,2,373,278,1570,0.2496954933008526,0.6212121212121212,0.5628427787934186
1,[1.e-06 7.e-07],4993,1376,615,21,3,338,292,1206,0.2980318650421743,0.6509723643807575,0.5545738045738046
2,[1.e-06 1.e-06],5732,1075,648,24,10,309,281,765,0.3911525029103609,0.6781029263370333,0.5538362346872985
3,[1.0e-06 1.5e-06],6527,688,649,19,35,323,241,362,0.5255704169944925,0.6510721247563352,0.5569675723049956
4,[1.e-06 2.e-06],6943,461,626,15,77,337,208,177,0.6247563352826511,0.6075829383886255,0.5625
5,[1.0e-06 2.5e-06],7214,288,592,11,133,368,155,83,0.7170035671819263,0.5461956521739131,0.5617902471609887
6,[1.e-06 3.e-06],7380,170,550,10,194,398,106,36,0.7977207977207977,0.4861111111111111,0.552755905511811
8,[2.5e-06 5.0e-07],6078,857,592,18,2,374,280,643,0.3979125896934116,0.6186612576064908,0.554630969609262
9,[2.5e-06 7.0e-07],6107,865,610,20,3,350,285,604,0.4147465437788018,0.6408952187182095,0.555596196049744
10,[2.5e-06 1.0e-06],6269,830,643,22,10,320,275,475,0.46996466431095407,0.6683417085427136,0.5516569200779727
11,[2.5e-06 1.5e-06],6648,629,642,17,35,331,240,302,0.5487094088259784,0.6429268292682927,0.5557612216566404
12,[2.5e-06 2.0e-06],6958,454,625,13,77,340,206,171,0.6285714285714286,0.604739336492891,0.5610834715312327
13,[2.5e-06 2.5e-06],7214,288,592,11,133,368,155,83,0.7170035671819263,0.5461956521739131,0.5617902471609887
14,[2.5e-06 3.0e-06],7380,170,550,10,194,398,106,36,0.7977207977207977,0.4861111111111111,0.552755905511811
16,[5.e-06 5.e-07],7542,42,556,8,2,599,91,4,0.8558421851289834,0.48412017167381977,0.5069230769230769
17,[5.e-06 7.e-07],7542,42,564,8,3,589,92,4,0.8562874251497006,0.49140893470790376,0.5142417244033872
18,[5.e-06 1.e-06],7543,41,568,8,10,579,91,4,0.8584202682563339,0.4944206008583691,0.5197521301316809
19,[5.0e-06 1.5e-06],7544,40,562,8,35,565,86,4,0.8636363636363636,0.48717948717948717,0.5217391304347826
20,[5.e-06 2.e-06],7548,36,559,8,77,532,80,4,0.8709677419354839,0.48214285714285715,0.5340442986054142
21,[5.0e-06 2.5e-06],7554,30,550,8,133,495,70,4,0.8829113924050633,0.47048903878583476,0.5462402765773552
22,[5.e-06 3.e-06],7555,30,526,8,194,470,58,3,0.8974789915966387,0.44574290484140233,0.54337899543379
