,Flare_Number,Flare_ID,Trigger_Time,Cancelled?,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux,Flare_C5_10min
0,165,201703271103,543885240.0,True,1.3004312222619774e-06,1.1124616321467329e-06,1.1324754041197593e-06,9.967504865926458e-07,False,False,False,False,False,True,C5.0,5.0370404e-06,2017-03-27T11:12:00.000,9.0,1.5002821385223797e-07,False
1,175,201703271809,543910860.0,True,1.387246356898686e-06,1.04164053027489e-06,1.0593048500595614e-06,8.38046446460794e-07,False,False,False,False,False,True,C7.9,7.992929e-06,2017-03-27T18:20:00.000,11.0,6.575513680218137e-07,False
2,187,201703280313,543943440.0,True,4.3305018948558427e-07,4.223722669394192e-07,4.269074338481005e-07,4.1622672597441124e-07,False,False,False,False,False,False,C4.7,4.7928793e-06,2017-03-28T03:23:00.000,10.0,4.0248244204121875e-07,False
3,189,201703280445,543949080.0,True,1.3638831433127052e-06,9.825903362070676e-07,1.0200495808021515e-06,7.564291877315554e-07,False,False,False,False,False,False,C4.9,4.983745e-06,2017-03-28T04:56:00.000,11.0,2.5382095714121533e-07,False
4,234,201703311716,544253880.0,True,1.7595824601812637e-06,1.5424180901391082e-06,1.568328798384755e-06,1.40887993893557e-06,False,False,False,False,False,False,C2.7,2.72192e-06,2017-03-31T17:37:00.000,21.0,1.9392500405501778e-07,False
5,249,201704011921,544348620.0,True,4.808332960237749e-06,4.388700745039387e-06,4.454119334695861e-06,4.024755526188528e-06,False,False,False,False,False,True,C5.8,5.8023916e-06,2017-04-01T19:56:00.000,35.0,5.572285886046302e-07,True
6,251,201704012131,544355820.0,True,3.183748049195856e-05,2.5125627871602774e-05,2.605845293146558e-05,2.05948617804097e-05,True,True,True,True,True,True,M6.8,6.87118e-05,2017-04-01T21:48:00.000,17.0,9.480689868723857e-07,True
7,261,201704020742,544392240.0,True,4.61141207779292e-05,3.88182197639253e-05,3.937993824365549e-05,3.449951691436581e-05,True,True,True,True,True,True,M8.3,8.383287e-05,2017-04-02T08:02:00.000,20.0,1.4673271380161168e-06,True
8,263,201704021050,544403040.0,True,1.943837105500279e-06,1.7824607994043618e-06,1.825596427806886e-06,1.6763183339207899e-06,False,False,False,False,False,False,C2.7,2.761983e-06,2017-04-02T11:03:00.000,13.0,1.5654910612283857e-06,False
9,264,201704021250,544410120.0,True,1.9272210920462385e-05,1.6800075172795914e-05,1.741319829307031e-05,1.4826414371782448e-05,True,True,True,True,True,True,M3.6,3.6941372e-05,2017-04-02T13:00:00.000,10.0,9.497819064563373e-07,True
10,265,201704021455,544417800.0,True,5.568918822973501e-06,5.357519057724858e-06,5.422378762887092e-06,5.15205238116323e-06,True,True,True,True,True,True,C6.5,6.5182544e-06,2017-04-02T15:08:00.000,13.0,4.160148364462657e-06,True
11,267,201704021814,544430340.0,True,3.250217923778109e-05,3.095738065894693e-05,3.250217923778109e-05,3.181750071235001e-05,True,True,True,True,True,True,M3.3,3.3523487e-05,2017-04-02T18:38:00.000,24.0,1.9914496078854427e-06,True
12,268,201704021845,544430340.0,True,3.250217923778109e-05,3.095738065894693e-05,3.250217923778109e-05,3.193135853507556e-05,True,True,True,True,True,True,M3.2,3.239735e-05,2017-04-02T18:52:00.000,7.0,2.7225098165217787e-05,True
13,269,201704022026,544437240.0,True,1.6539943317184225e-05,1.1475039173092227e-05,1.1522412933118176e-05,8.85577992448816e-06,True,True,True,True,True,True,M8.8,8.884683e-05,2017-04-02T20:33:00.000,7.0,5.601001703325892e-06,True
15,271,201704030050,544453560.0,True,9.989637874241453e-06,8.657499165565241e-06,8.601954505138565e-06,7.343927336478373e-06,True,True,True,True,True,True,,1.9677913e-05,2017-04-03T01:05:00.000,15.0,2.783206355161383e-06,True
16,274,201704030453,544467060.0,True,7.5712750913226046e-06,6.989068424445577e-06,7.5712750913226046e-06,7.31887121219188e-06,True,True,True,True,True,True,,7.515175e-06,2017-04-03T05:03:00.000,10.0,2.8690283215837553e-06,True
17,275,201704030516,544467900.0,True,5.9130093177373055e-06,5.750607670051977e-06,7.47163994674338e-06,6.109419246058678e-06,True,True,True,True,True,False,,3.3803126e-06,2017-04-03T06:35:00.000,79.0,5.601833890978014e-06,True
18,276,201704030635,544474020.0,True,5.780516858067131e-06,5.479287210619077e-06,5.5319997045444325e-06,5.236679044173798e-06,True,True,True,True,True,True,,7.791969e-06,2017-04-03T06:52:00.000,17.0,3.871974058711203e-06,True
19,277,201704030809,544479300.0,True,3.924442808056483e-06,3.404658627914614e-06,3.4217944175907178e-06,3.1378538096760167e-06,False,False,False,False,False,True,,5.8499177e-06,2017-04-03T08:14:00.000,5.0,2.3570016765006585e-06,False
20,278,201704030912,544483200.0,True,2.85859391624399e-06,2.74195281235734e-06,2.85859391624399e-06,2.7264125037618214e-06,False,False,False,False,False,False,,4.064342e-06,2017-04-03T09:19:00.000,7.0,2.641585297169513e-06,False
22,280,201704031011,544487100.0,True,3.980115252488758e-06,3.6650792480941163e-06,3.772653599298792e-06,3.618206619648845e-06,False,False,False,False,False,False,,2.1878172e-06,2017-04-03T10:11:00.000,0.0,2.161248403353966e-06,False
23,281,201704031106,544490040.0,True,5.043900273449253e-06,4.19554635300301e-06,4.2945166569552384e-06,3.673922947200481e-06,False,True,False,False,False,True,,6.084334e-06,2017-04-03T11:13:00.000,7.0,2.1069786271254998e-06,False
25,284,201704031216,544494060.0,True,3.403567006898811e-06,3.184826937285834e-06,3.403567006898811e-06,3.270953357059625e-06,False,False,False,False,False,False,,4.0617088e-06,2017-04-03T12:20:00.000,4.0,2.3312566099775722e-06,False
26,286,201704031317,544497900.0,True,5.040319592808373e-06,4.743150839203736e-06,4.734084541269112e-06,4.6095906327536795e-06,False,True,False,False,False,True,,1.147957e-05,2017-04-03T13:24:00.000,7.0,3.0725609576620627e-06,True
27,287,201704031417,544501800.0,True,2.3419832359650172e-05,1.4899343113938812e-05,1.545999839436263e-05,1.0280776223225985e-05,True,True,True,True,True,True,,9.061434e-05,2017-04-03T14:28:00.000,11.0,5.51786024516332e-06,True
28,288,201704031901,544518660.0,True,3.0444884941971395e-06,2.8658103019552073e-06,2.9748152883257717e-06,2.6795653411681997e-06,False,False,False,False,False,False,,4.0533173e-06,2017-04-03T19:10:00.000,9.0,2.4039304662437644e-06,False
29,289,201704032005,544522500.0,True,4.28960811404977e-06,3.712023271873477e-06,4.28960811404977e-06,3.556848469088436e-06,False,False,False,False,False,True,,7.823985e-06,2017-04-03T20:13:00.000,8.0,1.5227964240693836e-06,False
30,293,201704032248,544532340.0,False,2.73049522547808e-06,2.4354933430004166e-06,2.4500513973180205e-06,2.2485144199890783e-06,False,False,False,False,False,False,,3.2230375e-06,2017-04-03T22:57:00.000,9.0,1.843688096414553e-06,False
31,297,201704040318,544548540.0,True,2.6065242764161667e-06,2.4849121018633014e-06,2.514341076675919e-06,2.3814800442778505e-06,False,False,False,False,False,False,C3.0,3.0049246e-06,2017-04-04T03:31:00.000,13.0,1.8102148260368267e-06,False
32,298,201704040700,544562040.0,True,3.6908852507622214e-06,3.497314310152433e-06,3.5088080494460883e-06,3.398871513127233e-06,False,False,False,False,False,True,C5.8,5.863745e-06,2017-04-04T07:12:00.000,12.0,1.0839474953172612e-06,False
33,299,201704040942,544571520.0,True,2.188685812143376e-06,1.8371937358097057e-06,1.8738060134637635e-06,1.5549643421763903e-06,False,False,False,False,False,False,C3.6,3.6134174e-06,2017-04-04T09:50:00.000,8.0,1.1351469311193796e-06,False
34,314,201704042329,544621380.0,True,1.233186480931181e-06,1.0936863645838457e-06,1.0991967656082124e-06,1.0190702823820175e-06,False,False,False,False,False,True,C7.6,7.6273077e-06,2017-04-04T23:42:00.000,13.0,6.815872666265932e-07,False
35,336,201704070007,544796760.0,True,2.1653931980836205e-06,1.8741425265034195e-06,1.9053795767831616e-06,1.6868484635779168e-06,False,False,False,False,False,False,C4.2,4.2630754e-06,2017-04-07T00:25:00.000,18.0,2.8043945121680736e-07,False
36,402,201704180924,545780760.0,True,2.701140374483657e-06,2.102990720231901e-06,2.2031445041648112e-06,1.659038844081806e-06,False,False,False,False,False,True,C5.1,5.162689e-06,2017-04-18T09:41:00.000,17.0,1.1838033486810673e-07,False
37,404,201704181915,545818260.0,True,7.553386694780784e-06,7.181711680459557e-06,7.252142950164853e-06,6.878666226839414e-06,True,True,True,True,True,True,C8.4,8.455594e-06,2017-04-18T20:10:00.000,55.0,2.1760841661944141e-07,True
38,496,201705281920,549271800.0,True,2.341743993383716e-06,2.0748914266732754e-06,2.1384264528023778e-06,1.9080096080870135e-06,False,False,False,False,False,True,C5.1,5.1908414e-06,2017-05-28T19:28:00.000,8.0,1.421961002279204e-07,False
39,534,201706010137,549553440.0,True,5.615803729597246e-06,4.135863036935916e-06,4.286563580535585e-06,3.2147975161933573e-06,False,True,False,False,False,True,M1.0,1.0207464e-05,2017-06-01T01:43:00.000,6.0,9.444300417271734e-07,True
40,592,201706050505,549912720.0,True,2.2049077870178735e-06,2.0652421426348155e-06,2.1370531158027006e-06,2.053877551588812e-06,False,False,False,False,False,False,C4.0,4.0996747e-06,2017-06-05T05:31:00.000,26.0,8.461127976033822e-08,False
41,700,201707031605,552370560.0,True,4.009551048511639e-06,3.7232468912407057e-06,4.009551048511639e-06,3.662482413346879e-06,False,False,False,False,False,True,M2.0,2.035344e-05,2017-07-03T16:15:00.000,10.0,9.326345775662048e-07,False
