,Flare_Number,Flare_ID,Trigger_Time,Cancelled?,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux,Flare_C5_10min
0,56,201702221258,541042080.0,True,3.460314019321231e-06,3.0486232844850747e-06,3.144769607388298e-06,2.6987720502802404e-06,False,False,False,False,False,True,C6.3,6.3901207e-06,2017-02-22T13:27:00.000,29.0,1.3743063220772456e-07,True
1,251,201704012131,544355400.0,True,5.7363155065104365e-05,4.811548933503218e-05,5.059203249402344e-05,4.0641174564370885e-05,True,True,True,True,True,True,M6.8,6.87118e-05,2017-04-01T21:48:00.000,17.0,9.480689868723857e-07,True
2,261,201704020742,544392240.0,True,4.61141207779292e-05,3.88182197639253e-05,3.937993824365549e-05,3.449951691436581e-05,True,True,True,True,True,True,M8.3,8.383287e-05,2017-04-02T08:02:00.000,20.0,1.4673271380161168e-06,True
4,265,201704021455,544417800.0,True,5.568918822973501e-06,5.357519057724858e-06,5.422378762887092e-06,5.15205238116323e-06,True,True,True,True,True,True,C6.5,6.5182544e-06,2017-04-02T15:08:00.000,13.0,4.160148364462657e-06,True
5,268,201704021845,544431240.0,True,2.7259688067715615e-05,2.6107809389941394e-05,2.63352721958654e-05,2.532560938561801e-05,True,True,True,True,True,True,M3.2,3.239735e-05,2017-04-02T18:52:00.000,7.0,2.7225098165217787e-05,True
6,274,201704030453,544467900.0,True,5.9130093177373055e-06,5.74953173781978e-06,5.7167526392731816e-06,5.68121686228551e-06,True,True,True,True,True,True,,7.515175e-06,2017-04-03T05:03:00.000,10.0,2.8690283215837553e-06,True
7,275,201704030516,544467900.0,True,5.9130093177373055e-06,5.750607670051977e-06,7.47163994674338e-06,6.109419246058678e-06,True,True,True,True,True,False,,3.3803126e-06,2017-04-03T06:35:00.000,79.0,5.601833890978014e-06,True
8,276,201704030635,544474080.0,False,5.655012500938028e-06,5.358517682907404e-06,5.413237431639573e-06,5.11521966473083e-06,True,True,True,True,True,True,,7.791969e-06,2017-04-03T06:52:00.000,17.0,3.871974058711203e-06,True
9,298,201704040700,544562040.0,True,3.6908852507622214e-06,3.497314310152433e-06,3.5088080494460883e-06,3.398871513127233e-06,False,False,False,False,False,True,C5.8,5.863745e-06,2017-04-04T07:12:00.000,12.0,1.0839474953172612e-06,False
11,332,201704061202,544752720.0,True,4.232043920637807e-06,3.823436145466985e-06,3.88068838219624e-06,3.543430239005829e-06,False,False,False,False,False,True,C8.6,8.650007e-06,2017-04-06T12:10:00.000,8.0,3.1955863732946455e-07,True
