,Flare_Number,Flare_ID,Trigger_Time,Cancelled?,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux,Flare_C5_10min
0,251,201704012131,544355400.0,True,5.7363155065104365e-05,4.811548933503218e-05,5.059203249402344e-05,4.0641174564370885e-05,True,True,True,True,True,True,M6.8,6.87118e-05,2017-04-01T21:48:00.000,17.0,9.480689868723857e-07,True
1,261,201704020742,544392240.0,True,4.61141207779292e-05,3.88182197639253e-05,3.937993824365549e-05,3.449951691436581e-05,True,True,True,True,True,True,M8.3,8.383287e-05,2017-04-02T08:02:00.000,20.0,1.4673271380161168e-06,True
3,268,201704021845,544431240.0,True,2.7259688067715615e-05,2.6107809389941394e-05,2.63352721958654e-05,2.532560938561801e-05,True,True,True,True,True,True,M3.2,3.239735e-05,2017-04-02T18:52:00.000,7.0,2.7225098165217787e-05,True
6,332,201704061202,544752720.0,True,4.232043920637807e-06,3.823436145466985e-06,3.88068838219624e-06,3.543430239005829e-06,False,False,False,False,False,True,C8.6,8.650007e-06,2017-04-06T12:10:00.000,8.0,3.1955863732946455e-07,True
7,404,201704181915,545818260.0,True,7.553386694780784e-06,7.181711680459557e-06,7.252142950164853e-06,6.878666226839414e-06,True,True,True,True,True,True,C8.4,8.455594e-06,2017-04-18T20:10:00.000,55.0,2.1760841661944141e-07,True
8,848,201707140105,553270200.0,True,3.6431494663702324e-05,3.581782220862806e-05,3.604653829825111e-05,3.523561099427752e-05,True,True,True,True,True,True,M3.7,3.765344e-05,2017-07-14T02:09:00.000,64.0,2.1537948668992613e-06,True
9,1060,201708192124,556451760.0,True,6.154857146611903e-06,5.027178758609807e-06,5.158098247193266e-06,4.251412519806763e-06,True,True,True,True,False,True,M1.1,1.1198944e-05,2017-08-19T21:55:00.000,31.0,6.571296466972854e-07,True
10,1062,201708200134,556465980.0,True,1.1151448234159034e-05,9.356605005450547e-06,9.625097845855635e-06,8.110627277346794e-06,True,True,True,True,True,True,M1.8,1.8591947e-05,2017-08-20T01:52:00.000,18.0,8.63975401443895e-07,True
11,1228,201709021520,557638980.0,True,7.872737114666961e-06,6.943730568309547e-06,7.077733698679367e-06,6.306271188805113e-06,True,True,True,True,True,True,M1.1,1.1840938e-05,2017-09-02T15:41:00.000,21.0,4.974916691935505e-07,True
12,1248,201709041147,557799060.0,False,1.2698179489234462e-05,1.1743593859137036e-05,1.2698179489234462e-05,1.205544776894385e-05,True,True,True,True,True,True,C8.5,8.5365855e-06,2017-09-04T12:09:00.000,22.0,2.512065520932083e-06,True
13,1249,201709041212,557799060.0,False,1.2761156540364027e-05,1.1913187336176634e-05,1.2956003047293052e-05,1.2460528523661196e-05,True,True,True,True,True,True,M1.2,1.2260593e-05,2017-09-04T12:16:00.000,4.0,8.19435535959201e-06,True
14,1250,201709041220,557799060.0,False,1.2761156540364027e-05,1.1913187336176634e-05,1.2956003047293052e-05,1.2460528523661196e-05,True,True,True,True,True,True,M1.2,1.2889551e-05,2017-09-04T12:25:00.000,5.0,1.1185922630829737e-05,True
15,1255,201709041716,557818860.0,True,5.6035423767752945e-06,5.211002644500695e-06,5.256893473415403e-06,4.976363925379701e-06,True,True,True,True,False,True,C9.3,9.330422e-06,2017-09-04T17:39:00.000,23.0,2.543574964875006e-06,True
17,1257,201709041812,557820840.0,False,1.5781266483827494e-05,1.4172214832797181e-05,1.4542520148097537e-05,1.2924334441777319e-05,True,True,True,True,True,True,M1.5,1.5713755e-05,2017-09-04T18:22:00.000,10.0,8.038347914407495e-06,True
18,1258,201709041925,557825940.0,True,2.1288591597112827e-05,1.966037780221086e-05,1.9897051970474422e-05,1.855802292993758e-05,True,True,True,True,True,True,M2.6,2.681511e-05,2017-09-04T19:37:00.000,12.0,1.8677559637580998e-05,True
19,1260,201709042022,557829780.0,True,4.706322943093255e-05,4.6419125283136964e-05,4.580058157444e-05,4.580058157444e-05,True,True,True,True,True,True,M8.4,8.48785e-05,2017-09-04T20:33:00.000,11.0,2.0442350432858802e-05,True
20,1261,201709042209,557835360.0,True,2.142560333595611e-05,2.0155866877757944e-05,2.020655301748775e-05,1.95203010662226e-05,True,True,True,True,True,True,M3.3,3.3068853e-05,2017-09-04T22:14:00.000,5.0,2.132465670001693e-05,True
21,1268,201709050633,557867100.0,False,9.624308404454496e-06,9.310656423622277e-06,9.335708455182612e-06,9.133892490353901e-06,True,True,True,True,True,True,M5.8,5.8656748e-05,2017-09-05T06:40:00.000,7.0,5.138183951203246e-06,True
22,1285,201709060852,557961120.0,True,0.00012017882545478642,0.00011428492143750191,0.00012154816067777574,0.00011552099749678746,True,True,True,True,True,True,X3.2,0.00032232684,2017-09-06T09:10:00.000,18.0,4.288362106308341e-06,True
23,1287,201709061551,557987760.0,True,1.9725192032638006e-05,1.883840923255775e-05,1.8987771909451112e-05,1.8109307347913273e-05,True,True,True,True,True,True,M4.0,4.027113e-05,2017-09-06T15:56:00.000,5.0,1.900242205010727e-05,True
24,1288,201709061917,557997180.0,False,1.8523256585467607e-05,1.4744084182893857e-05,2.0468756702030078e-05,1.7683274563751183e-05,True,True,True,True,True,True,M2.2,2.224219e-05,2017-09-06T19:30:00.000,13.0,9.099079761654139e-06,True
26,1296,201709070948,558050160.0,True,3.412568503335933e-06,3.0323815281008137e-06,3.000840024469653e-06,2.86526278614474e-06,False,False,False,False,False,True,M2.3,2.3147917e-05,2017-09-07T09:54:00.000,6.0,2.0368747755128425e-06,False
27,1302,201709071416,558067080.0,True,0.00011877037468366325,0.00011789563723141328,0.00011877037468366325,0.00011688770609907806,True,True,True,True,True,True,X2.1,0.00021885491,2017-09-07T14:36:00.000,20.0,1.4748017065358e-06,True
28,1304,201709071822,558081000.0,True,6.67823906042031e-06,5.28260306964512e-06,7.089254722814076e-06,6.020939963491401e-06,True,True,True,True,True,True,C8.1,8.105214e-06,2017-09-07T18:28:00.000,6.0,5.4180000006454065e-06,True
29,1305,201709071840,558081000.0,True,6.67823906042031e-06,5.28260306964512e-06,7.089254722814076e-06,6.020939963491401e-06,True,True,True,True,True,True,C7.0,7.040822e-06,2017-09-07T18:44:00.000,4.0,4.6586555981775746e-06,True
30,1313,201709072350,558100860.0,True,4.24181271228008e-05,3.603917139116675e-05,3.7171703297644854e-05,3.123562419204973e-05,True,True,True,True,True,True,M6.0,6.0714683e-05,2017-09-07T23:59:00.000,9.0,2.150128466382739e-06,True
31,1330,201709082330,558186420.0,True,1.8199025362264365e-05,1.519546003692085e-05,1.555353810545057e-05,1.298761799262138e-05,True,True,True,True,True,True,M3.3,3.346909e-05,2017-09-08T23:45:00.000,15.0,1.6863218661455903e-06,True
32,1335,201709090413,558203400.0,True,1.3010613656661008e-05,1.1661712960631121e-05,1.1927264495170675e-05,1.0628499694576021e-05,True,True,True,True,True,True,M1.7,1.7329297e-05,2017-09-09T04:28:00.000,15.0,3.815204763668589e-06,True
33,1339,201709091046,558227220.0,True,3.587724131648429e-05,3.437320265220478e-05,3.379920599400066e-05,3.346834273543209e-05,True,True,True,True,True,True,M5.8,5.8746886e-05,2017-09-09T11:04:00.000,18.0,1.914577069328516e-06,True
34,1340,201709091119,558227220.0,True,3.587724131648429e-05,3.402572110644542e-05,3.791832932620309e-05,3.451947122812271e-05,True,True,True,True,True,True,M4.6,4.6260717e-05,2017-09-09T11:26:00.000,7.0,3.2813863072078675e-05,True
35,1347,201709092236,558270840.0,True,1.5860021449043415e-05,1.560942291689571e-05,1.5660862118238583e-05,1.5389608961413614e-05,True,True,True,True,True,True,M1.5,1.5941661e-05,2017-09-09T23:17:00.000,41.0,3.9527662920590956e-06,True
36,1360,201709101534,558331620.0,True,0.0010723848827183247,0.0009960407624021173,0.0010115624172613025,0.0009359628893435001,True,True,True,True,True,True,X12.9,0.001293521,2017-09-10T16:06:00.000,32.0,6.74522766530572e-07,True
37,2042,201901300556,602100780.0,True,3.055433808185626e-06,2.688860377020319e-06,2.7074117951997323e-06,2.480172952346038e-06,False,False,False,False,False,True,,8.233701e-06,2019-01-30T06:11:00.000,15.0,1.956161810312551e-07,False
38,3077,202105221703,674975580.0,True,1.2645280094147893e-06,9.185629892272118e-07,8.993976621241018e-07,7.700828632550838e-07,False,False,False,False,False,True,M1.1,1.190033e-05,2021-05-22T17:11:00.000,8.0,3.4732767062450876e-07,False
39,3184,202105282219,675515700.0,True,9.211528777086642e-06,9.147827768174466e-06,9.136750122706871e-06,9.123536983679514e-06,True,True,True,True,True,True,C9.4,9.4639845e-06,2021-05-28T23:13:00.000,54.0,3.5562507605391147e-07,True
