,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
5,[1.e-06 5.e+01],6641,571,423,9,465,200,160,375,0.4467425025853154,0.39380127620783956,0.5563866513233602
11,[2.5e-06 5.0e+01],7124,328,408,9,466,217,157,135,0.5881523272214386,0.3790909090909091,0.5653907496012759
16,[5.e-06 4.e+01],7568,21,426,6,374,383,65,1,0.8674698795180723,0.3633305298570227,0.5521064301552107
17,[5.e-06 5.e+01],7570,19,342,6,515,343,48,1,0.8765743073047859,0.2885572139303483,0.5230566534914362
18,[7.5e-06 5.0e+00],7583,8,420,5,515,301,12,0,0.9725400457665904,0.3424657534246575,0.5857908847184986
19,[7.5e-06 1.0e+01],7583,8,417,5,524,295,12,0,0.9723502304147466,0.34004834810636586,0.5888738127544098
20,[7.5e-06 2.0e+01],7583,8,396,5,557,283,12,0,0.9709443099273608,0.32312651087832395,0.5866477272727273
21,[7.5e-06 3.0e+01],7583,8,351,5,618,267,12,0,0.967391304347826,0.2868654311039484,0.5723172628304821
22,[7.5e-06 4.0e+01],7583,8,299,5,704,234,11,0,0.9650793650793651,0.24476650563607086,0.5655296229802513
23,[7.5e-06 5.0e+01],7583,8,252,5,775,210,11,0,0.9589552238805971,0.2069243156199678,0.551440329218107
