,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 5.e-02],4010,1801,246,7,0,627,375,1778,0.10515378221113882,0.2875,0.4977244517997518
2,[1.0e-06 2.5e-01],4869,1847,370,19,32,689,157,861,0.27647476901208246,0.3504504504504504,0.3568348972863302
3,[1.e-06 5.e-01],5765,1287,199,11,292,659,98,533,0.2497027348394768,0.18087855297157623,0.30175816289917473
4,[1.e-06 1.e+00],6544,752,117,6,654,410,67,294,0.25413223140495866,0.10362257792754845,0.29404617253948967
7,[2.5e-06 2.5e-01],6582,842,326,18,63,772,87,154,0.588034188034188,0.2917726887192536,0.2660300136425648
8,[2.5e-06 5.0e-01],6956,540,135,5,364,698,51,95,0.48951048951048953,0.11647254575707154,0.18766404199475065
9,[2.5e-06 1.0e+00],7263,285,80,3,729,405,34,45,0.5123456790123457,0.06820049301561217,0.19014084507042253
12,[5.0e-06 2.5e-01],7576,14,258,5,300,672,18,1,0.9326241134751773,0.21295546558704453,0.29132231404958675
13,[5.e-06 5.e-01],7585,11,83,0,534,623,8,0,0.9120879120879121,0.06693548387096775,0.12551724137931033
14,[5.e-06 1.e+00],7592,4,50,0,847,347,4,0,0.9259259259259259,0.04019292604501608,0.13333333333333333
15,[7.5e-06 5.0e-02],7581,10,393,5,517,326,12,0,0.9707317073170731,0.32070910556003224,0.5495978552278821
16,[7.5e-06 1.0e-01],7581,10,393,5,521,322,12,0,0.9707317073170731,0.32070910556003224,0.5525606469002695
17,[7.5e-06 2.5e-01],7587,6,191,3,686,367,4,0,0.9797979797979798,0.15557337610264635,0.3467600700525394
18,[7.5e-06 5.0e-01],7591,5,34,0,801,413,0,0,1.0,0.027243589743589744,0.0752212389380531
19,[7.5e-06 1.0e+00],7595,1,19,0,1007,222,0,0,1.0,0.015224358974358974,0.07851239669421488
