,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 1.e-08],4009,1254,447,15,0,298,503,2318,0.14072494669509594,0.6078947368421053,0.6790072388831437
1,[1.e-06 5.e-08],4097,995,622,21,0,220,406,2483,0.18204983012457532,0.7450753186558516,0.7440488729724036
2,[1.e-06 1.e-07],4316,927,701,24,3,167,377,2329,0.2113086563684057,0.8100558659217877,0.758232044198895
3,[1.e-06 5.e-07],6611,548,702,16,107,151,288,421,0.5031534688156972,0.735655737704918,0.6712135465663217
4,[1.e-06 1.e-06],7280,229,510,10,381,167,190,77,0.6607369758576874,0.4868913857677903,0.665257819103973
6,[2.5e-06 1.0e-08],6045,779,646,22,0,227,375,750,0.3725599553820413,0.7463687150837989,0.6405859235441229
7,[2.5e-06 5.0e-08],6068,745,692,24,0,204,352,759,0.3918992884510126,0.7782608695652173,0.6581412103746398
8,[2.5e-06 1.0e-07],6123,697,719,24,3,185,341,752,0.4046840958605665,0.7980665950590763,0.6754966887417219
9,[2.5e-06 5.0e-07],6887,453,688,17,107,173,280,239,0.5759803921568627,0.7157360406091371,0.6616216216216216
10,[2.5e-06 1.0e-06],7337,206,504,10,381,178,185,43,0.692722371967655,0.4790307548928239,0.6589698046181173
12,[5.e-06 1.e-08],7550,35,621,8,0,534,93,3,0.8675862068965517,0.5408426483233018,0.5602782071097373
13,[5.e-06 5.e-08],7552,32,627,9,4,523,94,3,0.8676671214188267,0.5468615649183147,0.5690993788819876
14,[5.e-06 1.e-07],7555,29,630,9,16,509,93,3,0.8693877551020408,0.5489690721649485,0.5773762765121759
15,[5.e-06 5.e-07],7567,19,585,7,196,385,82,3,0.8744460856720827,0.5046888320545609,0.6262719703977798
