,Flare_Number,Flare_ID,Trigger_Time,Cancelled?,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_C5_10min,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux
0,187,201703280313,543943440.0,True,4.3305018948558427e-07,4.223722669394192e-07,4.269074338481005e-07,4.1622672597441124e-07,False,False,False,False,False,False,False,C4.7,4.7928793e-06,2017-03-28T03:23:00.000,10.0,4.0248244204121875e-07
1,249,201704011921,544348620.0,True,4.808332960237749e-06,4.388700745039387e-06,4.454119334695861e-06,4.024755526188528e-06,False,False,False,False,False,True,True,C5.8,5.8023916e-06,2017-04-01T19:56:00.000,35.0,5.572285886046302e-07
2,264,201704021250,544410120.0,True,1.9272210920462385e-05,1.6800075172795914e-05,1.741319829307031e-05,1.4826414371782448e-05,True,True,True,True,True,True,True,M3.6,3.6941372e-05,2017-04-02T13:00:00.000,10.0,9.497819064563373e-07
3,267,201704021814,544430340.0,True,3.250217923778109e-05,3.095738065894693e-05,3.250217923778109e-05,3.181750071235001e-05,True,True,True,True,True,True,True,M3.3,3.3523487e-05,2017-04-02T18:38:00.000,24.0,1.9914496078854427e-06
4,268,201704021845,544430340.0,True,3.250217923778109e-05,3.095738065894693e-05,3.250217923778109e-05,3.193135853507556e-05,True,True,True,True,True,True,True,M3.2,3.239735e-05,2017-04-02T18:52:00.000,7.0,2.7225098165217787e-05
5,269,201704022026,544437240.0,True,1.6539943317184225e-05,1.1475039173092227e-05,1.1522412933118176e-05,8.85577992448816e-06,True,True,True,True,True,True,True,M8.8,8.884683e-05,2017-04-02T20:33:00.000,7.0,5.601001703325892e-06
6,271,201704030050,544453560.0,True,9.989637874241453e-06,8.657499165565241e-06,8.601954505138565e-06,7.343927336478373e-06,True,True,True,True,True,True,True,,1.9677913e-05,2017-04-03T01:05:00.000,15.0,2.783206355161383e-06
7,274,201704030453,544467060.0,True,7.5712750913226046e-06,6.989068424445577e-06,7.5712750913226046e-06,7.31887121219188e-06,True,True,True,True,True,True,True,,7.515175e-06,2017-04-03T05:03:00.000,10.0,2.8690283215837553e-06
8,276,201704030635,544474080.0,False,5.655012500938028e-06,5.358517682907404e-06,5.413237431639573e-06,5.11521966473083e-06,True,True,True,True,True,True,True,,7.791969e-06,2017-04-03T06:52:00.000,17.0,3.871974058711203e-06
9,277,201704030809,544479300.0,True,3.924442808056483e-06,3.404658627914614e-06,3.4217944175907178e-06,3.1378538096760167e-06,False,False,False,False,False,True,False,,5.8499177e-06,2017-04-03T08:14:00.000,5.0,2.3570016765006585e-06
