,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.0e-06 2.5e-07],6488,625,672,21,0,280,296,462,0.4776016540317023,0.7122302158273381,0.615874363327674
1,[1.e-06 3.e-07],6765,515,675,19,7,281,285,297,0.5438871473354232,0.7067209775967414,0.6158301158301158
2,[1.0e-06 3.5e-07],6999,395,668,17,15,306,259,185,0.6067316209034543,0.6809145129224652,0.6169398907103825
3,[1.e-06 4.e-07],7182,305,659,14,39,322,228,95,0.6757028112449799,0.6508704061895552,0.6136783733826248
4,[1.0e-06 4.5e-07],7296,237,651,10,83,316,198,53,0.7247807017543859,0.6235849056603774,0.6225255972696245
5,[1.e-06 5.e-07],7404,154,624,9,119,348,157,29,0.7728937728937729,0.5754545454545454,0.6199848599545799
6,[2.5e-06 2.5e-07],6572,610,671,21,0,286,291,393,0.502906976744186,0.7075664621676891,0.6056338028169014
7,[2.5e-06 3.0e-07],6801,510,673,18,7,285,283,267,0.556809024979855,0.7029501525940997,0.6095284872298625
8,[2.5e-06 3.5e-07],7008,401,666,16,15,310,257,171,0.6144144144144145,0.6772591857000994,0.6095551894563427
9,[2.5e-06 4.0e-07],7184,309,657,14,39,325,227,89,0.6798378926038501,0.6483091787439613,0.6088834053053671
10,[2.5e-06 4.5e-07],7298,237,650,10,83,317,198,51,0.7260726072607261,0.6226415094339622,0.621326042378674
11,[2.5e-06 5.0e-07],7404,156,624,9,119,348,157,27,0.7747858017135862,0.5754545454545454,0.6184708554125662
12,[5.0e-06 2.5e-07],7542,42,567,8,0,590,91,4,0.8582089552238806,0.49356223175965663,0.5145929339477726
13,[5.e-06 3.e-07],7542,42,572,8,7,579,90,4,0.8605341246290801,0.4974271012006861,0.5204633204633204
14,[5.0e-06 3.5e-07],7545,39,578,8,16,565,89,4,0.8630338733431517,0.5021422450728363,0.5292283710054559
15,[5.e-06 4.e-07],7548,36,583,8,41,538,86,4,0.8678414096916299,0.5051282051282051,0.5426294820717131
16,[5.0e-06 4.5e-07],7555,30,587,8,85,492,84,3,0.8724340175953079,0.507679180887372,0.5664451827242525
17,[5.e-06 5.e-07],7555,30,577,8,122,468,81,3,0.874439461883408,0.4978723404255319,0.5732647814910026
