,Flare_Number,Flare_ID,Trigger_Time,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux
0,1.0,201702090130.0,539876760.0,1.2100269941583974e-06,8.581664587836713e-07,7.878874157540849e-07,7.052194632706232e-07,False,False,False,False,False,B4.3,4.3950894e-07,2017-02-09T01:40:00.000,10.0,1.0725744914452662e-07
1,2.0,201702090145.0,539876760.0,1.2100269941583974e-06,8.197673651011428e-07,7.878874157540849e-07,6.631903488596436e-07,False,False,False,False,False,C1.7,1.7020639e-06,2017-02-09T01:51:00.000,6.0,1.7688651610114903e-07
2,13.0,201702090929.0,539907060.0,9.038051018706028e-08,8.901987058607119e-08,8.892421732298317e-08,8.809291784928064e-08,False,False,False,False,False,B4.2,4.2583144e-07,2017-02-09T09:37:00.000,8.0,6.312729539104112e-08
3,14.0,201702091027.0,539907720.0,2.1519151971460815e-07,1.3976840307350358e-07,2.1519151971460815e-07,1.4464092146226903e-07,False,False,False,False,False,B1.8,1.819655e-07,2017-02-09T10:35:00.000,8.0,6.872252100720289e-08
5,19.0,201702120424.0,540144600.0,1.1105996122751094e-07,1.0667869076996794e-07,1.1105996122751094e-07,1.0378812476119492e-07,False,False,False,False,False,B1.7,1.7633809e-07,2017-02-12T04:34:00.000,10.0,7.49216653161966e-08
6,20.0,201702121831.0,540197460.0,9.569817649435208e-08,9.337841078149722e-08,9.373725617933815e-08,9.211072438120027e-08,False,False,False,False,False,B1.3,1.3096634e-07,2017-02-12T18:39:00.000,8.0,8.65900062763103e-08
7,21.0,201702151231.0,540434580.0,5.896415800066279e-08,5.372709210860194e-08,6.950415354367578e-08,5.630695909530914e-08,False,False,False,False,False,B3.0,3.0003866e-07,2017-02-15T12:42:00.000,11.0,3.593305919480372e-08
8,24.0,201702171506.0,540618240.0,1.776631251004801e-07,1.69787526260734e-07,1.8009261282259104e-07,1.7352563475014904e-07,False,False,False,False,False,B1.1,1.1607834e-07,2017-02-17T15:12:00.000,6.0,7.915277677739141e-08
10,26.0,201702190532.0,540754200.0,4.382862073271099e-07,4.094402186183288e-07,4.382862073271099e-07,4.2289084944968636e-07,False,False,False,False,False,B4.1,4.1584468e-07,2017-02-19T05:41:00.000,9.0,2.450656495511794e-07
11,33.0,201702200403.0,540839880.0,1.88185424576659e-07,1.8566252890650503e-07,1.88185424576659e-07,1.8590679928820464e-07,False,False,False,False,False,B3.2,3.294221e-07,2017-02-20T04:21:00.000,18.0,1.4285835447935824e-07
