,Flare_Number,Flare_ID,Trigger_Time,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux,Flare_C5_10min
0,0.0,201702090041.0,539872680.0,4.1316309307148913e-07,3.5823032362714e-07,4.1316309307148913e-07,3.710322005190392e-07,False,False,False,False,False,B3.8,3.8009338e-07,2017-02-09T00:50:00.000,9.0,1.1591767901109051e-07,False
2,11.0,201702090739.0,539899380.0,2.2003061417308345e-07,2.1111860348810296e-07,2.4756229777267436e-07,2.1731425192683673e-07,False,False,False,False,False,B3.2,3.2729199e-07,2017-02-09T07:43:00.000,4.0,1.8649160438144463e-07,False
3,13.0,201702090929.0,539906880.0,9.239580123221458e-08,9.056424232767313e-08,9.167811043653273e-08,8.975217724582762e-08,False,False,False,False,False,B4.2,4.2583144e-07,2017-02-09T09:37:00.000,8.0,6.312729539104112e-08,False
4,21.0,201702151231.0,540433440.0,1.0180252019154068e-07,6.023695675594354e-08,1.4450944263444399e-07,9.098270226104432e-08,False,False,False,False,False,B3.0,3.0003866e-07,2017-02-15T12:42:00.000,11.0,3.593305919480372e-08,False
6,24.0,201702171506.0,540615840.0,1.7599653290290007e-07,1.61736082304742e-07,1.6604666086550424e-07,1.532832243356097e-07,False,False,False,False,False,B1.1,1.1607834e-07,2017-02-17T15:12:00.000,6.0,7.915277677739141e-08,False
7,25.0,201702172314.0,540644820.0,1.2044203856476088e-07,1.0418775531206848e-07,1.3418900834949454e-07,1.1588146975327618e-07,False,False,False,False,False,B1.3,1.3231882e-07,2017-02-17T23:26:00.000,12.0,8.149939390023064e-08,False
9,30.0,201702191720.0,540796200.0,2.6066089731102693e-07,2.498169635600789e-07,3.492895928047801e-07,2.7984128792013507e-07,False,False,False,False,False,B2.8,2.8846893e-07,2017-02-19T17:25:00.000,5.0,1.8305622973002755e-07,False
10,33.0,201702200403.0,540838860.0,1.897811330309196e-07,1.8634682419360615e-07,1.8653250322131498e-07,1.8445059879468317e-07,False,False,False,False,False,B3.2,3.294221e-07,2017-02-20T04:21:00.000,18.0,1.4285835447935824e-07,False
11,38.0,201702201412.0,540872880.0,4.1966399066950544e-07,3.5120467600791017e-07,3.566847226466052e-07,3.1131136779549706e-07,False,False,False,False,False,C1.1,1.1091099e-06,2017-02-20T14:25:00.000,13.0,1.6234230315603781e-07,False
12,41.0,201702202309.0,540905580.0,2.8166769538984227e-07,2.715944162900996e-07,3.0999544264886936e-07,2.8221978709552786e-07,False,False,False,False,False,B3.4,3.4016583e-07,2017-02-20T23:14:00.000,5.0,2.246465271582565e-07,False
13,49.0,201702211348.0,540956820.0,3.893772486662783e-07,2.9796669309689605e-07,4.4352208306008833e-07,3.5528105968296586e-07,False,False,False,False,False,,3.9669519e-07,2017-02-21T14:01:00.000,13.0,1.538731737582566e-07,False
14,51.0,201702211909.0,540975720.0,2.164791652603526e-07,1.939355769309259e-07,2.298505563658182e-07,2.1192589372276416e-07,False,False,False,False,False,,1.7987811e-07,2017-02-21T19:17:00.000,8.0,1.1908748831501725e-07,False
15,52.0,201702212040.0,540981060.0,1.8402451473775727e-07,1.7249186612389167e-07,2.0760072061420942e-07,1.834868470496076e-07,False,False,False,False,False,,1.8533491e-07,2017-02-21T20:49:00.000,9.0,1.2124408499403216e-07,False
16,55.0,201702221235.0,541038720.0,2.2605587446378195e-07,2.134429308853214e-07,2.2291860091172566e-07,1.9995637501324381e-07,False,False,False,False,False,B2.0,2.0172118e-07,2017-02-22T12:41:00.000,6.0,1.460866485558654e-07,False
17,56.0,201702221258.0,541042080.0,3.460314019321231e-06,3.0486232844850747e-06,3.144769607388298e-06,2.6987720502802404e-06,False,False,False,False,True,C6.3,6.3901207e-06,2017-02-22T13:27:00.000,29.0,1.3743063220772456e-07,True
18,58.0,201702221720.0,541056000.0,1.963603608601261e-07,1.930385451487382e-07,1.9465169032173435e-07,1.8907365983977797e-07,False,False,False,False,False,B1.6,1.6483209e-07,2017-02-22T17:27:00.000,7.0,1.229671369173957e-07,False
20,66.0,201702231032.0,541121100.0,2.7805842250927526e-07,2.480848024788429e-07,2.508634224795969e-07,2.2811644839748624e-07,False,False,False,False,False,B6.7,6.7843575e-07,2017-02-23T10:54:00.000,22.0,1.4295662253971386e-07,False
21,67.0,201702231414.0,541131240.0,3.3280068123531237e-07,3.205967686881195e-07,3.3454676895416924e-07,3.2765038326942886e-07,False,False,False,False,False,B3.1,3.1389007e-07,2017-02-23T14:28:00.000,14.0,1.11202666630561e-07,False
23,75.0,201702251318.0,541302660.0,1.5551634646726598e-07,1.540294789492691e-07,1.5532074826296594e-07,1.5267563924226124e-07,False,False,False,False,False,B1.2,1.2003484e-07,2017-02-25T13:25:00.000,7.0,7.963244286202098e-08,False
24,76.0,201702252155.0,541331460.0,1.9791981742400822e-07,1.8039888516341307e-07,1.9791981742400822e-07,1.9139118023758783e-07,False,False,False,False,False,B1.3,1.3613312e-07,2017-02-25T22:03:00.000,8.0,7.95339332171352e-08,False
25,77.0,201702252304.0,541335660.0,1.7888301329094247e-07,1.7215474201748293e-07,1.7888301329094247e-07,1.6925099544096156e-07,False,False,False,False,False,B1.2,1.2477479e-07,2017-02-25T23:13:00.000,9.0,8.243581817168888e-08,False
26,79.0,201702262136.0,541419240.0,1.3204179083459167e-07,1.3051415237441688e-07,1.31271548298173e-07,1.3010655663947546e-07,False,False,False,False,False,B1.0,1.0583671e-07,2017-02-26T21:41:00.000,5.0,7.180391037309164e-08,False
27,85.0,201702270746.0,541453080.0,1.1853844483766807e-07,1.0748639311941588e-07,1.3929762587849837e-07,1.1839424729487291e-07,False,False,False,False,False,B1.3,1.3612791e-07,2017-02-27T07:57:00.000,11.0,8.748690305537821e-08,False
28,86.0,201702271213.0,541469040.0,1.2046942288179707e-07,1.158740587925422e-07,1.4695562811084528e-07,1.235357842688245e-07,False,False,False,False,False,B1.2,1.2885748e-07,2017-02-27T12:20:00.000,7.0,8.508722260103241e-08,False
29,102.0,201702281809.0,541579500.0,1.813802583683355e-07,1.7141981345503154e-07,1.73361073052547e-07,1.651449252904058e-07,False,False,False,False,False,B2.1,2.1357008e-07,2017-02-28T18:19:00.000,10.0,1.1125625576369202e-07,False
30,105.0,201703020745.0,541712400.0,1.0466285260690711e-07,9.657764366011179e-08,1.066699510943181e-07,1.039134147617915e-07,False,False,False,False,False,B1.0,1.0666995e-07,2017-03-02T07:55:00.000,10.0,6.602876823080805e-08,False
32,107.0,201703020836.0,541715280.0,1.2016221262456384e-07,1.1273158406766015e-07,1.2016221262456384e-07,1.1714858061395717e-07,False,False,False,False,False,B1.2,1.2016221e-07,2017-03-02T08:41:00.000,5.0,1.0298644781414623e-07,False
33,109.0,201703021036.0,541724760.0,2.5270782089137356e-07,2.448942097998952e-07,2.535163901029591e-07,2.450602494263876e-07,False,False,False,False,False,B4.7,4.7883753e-07,2017-03-02T10:49:00.000,13.0,1.2552155226330797e-07,False
34,110.0,201703021329.0,541735740.0,3.3286684697486635e-07,3.2466553534504783e-07,3.2557079521211563e-07,3.15615523049928e-07,False,False,False,False,False,B5.6,5.612398e-07,2017-03-02T13:45:00.000,16.0,2.928073854491231e-07,False
35,112.0,201703030717.0,541797000.0,2.1107624093019695e-07,1.9311198684590636e-07,2.3516550129443203e-07,2.0707949488496524e-07,False,False,False,False,False,B1.7,1.771824e-07,2017-03-03T07:34:00.000,17.0,8.047309307812611e-08,False
36,117.0,201703031944.0,541846440.0,1.6094311661163374e-07,1.588550162523461e-07,1.6094311661163374e-07,1.5793175123235415e-07,False,False,False,False,False,B1.7,1.7511145e-07,2017-03-03T19:55:00.000,11.0,7.367115273382296e-08,False
37,119.0,201703032120.0,541852320.0,1.7724970291510544e-07,1.718710933573675e-07,1.802638394110545e-07,1.7363042559281894e-07,False,False,False,False,False,B2.0,2.0489195e-07,2017-03-03T21:47:00.000,27.0,9.583553861602923e-08,False
38,125.0,201703041006.0,541893360.0,1.1752124606800862e-07,1.0663891458762009e-07,1.4109754431501642e-07,1.1711998837427018e-07,False,False,False,False,False,B3.5,3.5711332e-07,2017-03-04T10:18:00.000,12.0,1.0091373781051516e-07,False
39,126.0,201703042252.0,541939740.0,2.4652476326991746e-07,2.1374042091792944e-07,2.4652476326991746e-07,2.2102419450220623e-07,False,False,False,False,False,B2.4,2.4652476e-07,2017-03-04T23:00:00.000,8.0,1.4090014133216755e-07,False
40,127.0,201703050013.0,541944240.0,1.2751478095651692e-07,1.1329518656566506e-07,1.353443934704046e-07,1.2169539331807755e-07,False,False,False,False,False,B1.6,1.6701505e-07,2017-03-05T00:22:00.000,9.0,1.0594414590059387e-07,False
41,129.0,201703060013.0,542032380.0,1.2100797164293908e-07,1.1377005648682825e-07,1.2100797164293908e-07,1.170845749243199e-07,False,False,False,False,False,B1.5,1.5653879e-07,2017-03-06T00:18:00.000,5.0,1.0759512036884189e-07,False
42,130.0,201703060228.0,542039160.0,1.3699199996608513e-07,1.2909735858102067e-07,1.3118102515363717e-07,1.2108907299079874e-07,False,False,False,False,False,B1.3,1.36992e-07,2017-03-06T02:35:00.000,7.0,9.453257376890178e-08,False
43,132.0,201703061156.0,542076180.0,1.5545677456429985e-07,1.4887748989167449e-07,1.5439319156484999e-07,1.4065325615320035e-07,False,False,False,False,False,B2.9,2.9141e-07,2017-03-06T12:04:00.000,8.0,1.3268733312088443e-07,False
46,135.0,201703081433.0,542254980.0,1.4938764536509552e-07,1.463214829300341e-07,1.8896193410000706e-07,1.5514677897954243e-07,False,False,False,False,False,B2.0,2.0380912e-07,2017-03-08T14:39:00.000,6.0,1.417838575434871e-07,False
47,136.0,201703081943.0,542279400.0,2.335006712428367e-07,2.3088297496087762e-07,2.3232449564147828e-07,2.2884900374720019e-07,False,False,False,False,False,B3.7,3.7879448e-07,2017-03-08T19:55:00.000,12.0,1.11429876881175e-07,False
50,149.0,201703260225.0,543766800.0,4.786847398463578e-07,1.7792005735373095e-07,6.112973665040045e-07,3.4408972737765e-07,False,False,False,False,False,B5.7,5.780453e-07,2017-03-26T02:34:00.000,9.0,5.089462717933202e-08,False
51,152.0,201703261025.0,543798840.0,1.0607439548948605e-07,1.0483604739874863e-07,1.0568111719067019e-07,1.0463998023624299e-07,False,False,False,False,False,B1.1,1.1976701e-07,2017-03-26T10:32:00.000,7.0,6.52490896868585e-08,False
52,156.0,201703261858.0,543826860.0,2.869835782348673e-07,2.470042659297178e-07,2.869835782348673e-07,2.4174548229893844e-07,False,False,False,False,False,B2.4,2.4085207e-07,2017-03-26T19:05:00.000,7.0,1.255803852018289e-07,False
53,157.0,201703261911.0,543826860.0,2.869835782348673e-07,2.470042659297178e-07,2.869835782348673e-07,2.4174548229893844e-07,False,False,False,False,False,B2.4,2.4365752e-07,2017-03-26T19:14:00.000,3.0,1.846179458198094e-07,False
55,160.0,201703262307.0,543841740.0,3.0421014685089176e-07,2.8080680181119533e-07,2.9790609801239043e-07,2.738592286277708e-07,False,False,False,False,False,B2.7,2.7393853e-07,2017-03-26T23:17:00.000,10.0,2.1300554919889692e-07,False
56,163.0,201703270914.0,543880560.0,1.7065406154870288e-07,1.6521715906492318e-07,1.7065406154870288e-07,1.6073927611159888e-07,False,False,False,False,False,B7.3,7.357836e-07,2017-03-27T09:23:00.000,9.0,1.5982503498435108e-07,False
57,178.0,201703272033.0,543921240.0,5.289251703288755e-07,4.96084169299138e-07,4.946540457240189e-07,4.769481165567413e-07,False,False,False,False,False,C1.2,1.2573813e-06,2017-03-27T20:46:00.000,13.0,3.931476442176063e-07,False
58,193.0,201703280935.0,543966420.0,1.7033461290338892e-06,9.609625521989074e-07,1.7644880472289515e-06,1.353197944808926e-06,False,False,False,False,False,B6.3,6.309828e-07,2017-03-28T09:44:00.000,9.0,2.5045412144208967e-07,False
59,194.0,201703280955.0,543966420.0,1.7033461290338892e-06,9.609625521989074e-07,1.7644880472289515e-06,1.353197944808926e-06,False,False,False,False,False,C1.6,1.6813545e-06,2017-03-28T10:01:00.000,6.0,3.321555936963705e-07,False
62,197.0,201703281350.0,543981060.0,4.1622038793320826e-07,4.108760549570434e-07,4.1622038793320826e-07,4.0353765484724136e-07,False,False,False,False,False,B3.7,3.7585116e-07,2017-03-28T13:55:00.000,5.0,2.023314209509408e-07,False
63,200.0,201703281912.0,544000320.0,4.3250275894024526e-07,4.204184449463355e-07,4.3250275894024526e-07,4.176354195806198e-07,False,False,False,False,False,B3.2,3.2705339e-07,2017-03-28T19:22:00.000,10.0,1.7690283016236208e-07,False
64,201.0,201703282048.0,544005540.0,3.2264478022625553e-07,2.6721798462858715e-07,3.5635869721772906e-07,3.051652583963005e-07,False,False,False,False,False,B2.8,2.8653892e-07,2017-03-28T20:54:00.000,6.0,1.543967584893835e-07,False
65,207.0,201703290123.0,544024800.0,3.506522432417114e-07,3.3583765457478876e-07,3.506522432417114e-07,3.506522432417114e-07,False,False,False,False,False,B7.3,7.3121964e-07,2017-03-29T01:40:00.000,17.0,3.139991520129115e-07,False
66,211.0,201703291255.0,544067760.0,2.7757755560742225e-07,2.755583352609392e-07,2.771357401343266e-07,2.747403584635322e-07,False,False,False,False,False,B5.7,5.7915435e-07,2017-03-29T13:09:00.000,14.0,2.890643315822672e-07,False
67,212.0,201703292024.0,544092420.0,3.7634660543517384e-07,3.617961965574068e-07,3.6323723406894715e-07,3.5098992157145403e-07,False,False,False,False,False,B7.5,7.5083835e-07,2017-03-29T20:30:00.000,6.0,3.085301898408943e-07,False
68,214.0,201703300655.0,544130160.0,2.558990104262193e-07,2.5126064429059625e-07,2.558990104262193e-07,2.5314071194770804e-07,False,False,False,False,False,B3.5,3.5870082e-07,2017-03-30T07:03:00.000,8.0,1.2571838681196823e-07,False
69,217.0,201703301755.0,544168080.0,4.72314951593944e-07,3.807708708336577e-07,4.72314951593944e-07,4.044624972721067e-07,False,False,False,False,False,B3.7,3.7917226e-07,2017-03-30T18:01:00.000,6.0,2.2319900949696603e-07,False
70,219.0,201703310147.0,544196460.0,3.6196132668919745e-07,3.1537112477053597e-07,3.421528163016774e-07,2.973862081034895e-07,False,False,False,False,False,B2.7,2.75056e-07,2017-03-31T01:50:00.000,3.0,1.586494562388907e-07,False
71,220.0,201703310249.0,544199940.0,2.54759754625411e-07,2.4417408894805703e-07,2.812598722812254e-07,2.5437165618313884e-07,False,False,False,False,False,B3.7,3.7527744e-07,2017-03-31T02:57:00.000,8.0,1.9023575248411362e-07,False
72,221.0,201703310335.0,544203360.0,8.211848694372748e-07,6.806256465097249e-07,8.211848694372748e-07,6.324314085759397e-07,False,False,False,False,False,B7.3,7.3510967e-07,2017-03-31T03:46:00.000,11.0,2.082027208416548e-07,False
73,223.0,201703310715.0,544216260.0,2.7462075991024903e-07,2.566396517522662e-07,2.7462075991024903e-07,2.6994339918928745e-07,False,False,False,False,False,B2.1,2.1992096e-07,2017-03-31T07:22:00.000,7.0,1.5720169699307007e-07,False
75,233.0,201703311438.0,544242540.0,4.4497011231214856e-07,4.122087204905256e-07,5.515616976481397e-07,4.523808740941604e-07,False,False,False,False,False,B5.5,5.5505564e-07,2017-03-31T14:47:00.000,9.0,2.847894222668401e-07,False
76,235.0,201703311910.0,544258980.0,5.667587856805767e-07,5.071503892395413e-07,5.804711804557883e-07,5.50385436781653e-07,False,False,False,False,False,B4.5,4.5106978e-07,2017-03-31T19:18:00.000,8.0,3.1162338132162404e-07,False
