,Flare_Number,Flare_ID,Trigger_Time,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux,Flare_C5_10min
1,2.0,201702090145.0,539876940.0,6.827188485658553e-07,6.333352189358266e-07,6.338943876471603e-07,6.23116534370638e-07,False,False,False,False,False,C1.7,1.7020639e-06,2017-02-09T01:51:00.000,6.0,1.7688651610114903e-07,False
3,6.0,201702090321.0,539882640.0,9.476182754042384e-07,7.903665846242802e-07,7.961070309647766e-07,7.002174697845476e-07,False,False,False,False,False,C2.0,2.05077e-06,2017-02-09T03:26:00.000,5.0,4.693983726156148e-07,False
4,10.0,201702090651.0,539895660.0,5.794486810373201e-07,5.297953293847968e-07,5.794486810373201e-07,5.214183147472795e-07,False,False,False,False,False,C1.8,1.8020371e-06,2017-02-09T07:02:00.000,11.0,2.3858072495386295e-07,False
5,56.0,201702221258.0,541041000.0,6.2601984609500505e-06,5.844467523274943e-06,6.27383360551903e-06,6.174345344334142e-06,True,True,True,True,True,C6.3,6.3901207e-06,2017-02-22T13:27:00.000,29.0,1.3743063220772456e-07,True
6,69.0,201702232032.0,541155000.0,1.8290136267751222e-06,1.7376208916175528e-06,1.751482500367274e-06,1.6656077832521987e-06,False,False,False,False,False,C2.0,2.0385078e-06,2017-02-23T20:53:00.000,21.0,1.4547784132901143e-07,False
7,70.0,201702240003.0,541167060.0,2.831590961704933e-07,2.2828146484243916e-07,2.3173964791567414e-07,1.952306547536864e-07,False,False,False,False,False,C1.6,1.6509745e-06,2017-02-24T00:12:00.000,9.0,1.1399695409863853e-07,False
8,110.0,201703021329.0,541737180.0,3.233169536542846e-07,3.1508525921708497e-07,3.233169536542846e-07,3.1355358487417107e-07,False,False,False,False,False,B5.6,5.612398e-07,2017-03-02T13:45:00.000,16.0,2.928073854491231e-07,False
9,133.0,201703061415.0,542082000.0,1.4281529558957118e-07,1.3826547728967853e-07,1.4281529558957118e-07,1.360778156822562e-07,False,False,False,False,False,B2.0,2.015437e-07,2017-03-06T14:21:00.000,6.0,1.4371538270552264e-07,False
11,165.0,201703271103.0,543885000.0,2.191528665207443e-06,1.6007793419703376e-06,1.6047373492256156e-06,1.2907971722597722e-06,False,False,False,False,True,C5.0,5.0370404e-06,2017-03-27T11:12:00.000,9.0,1.5002821385223797e-07,False
13,172.0,201703271700.0,543906420.0,2.1710959572374122e-06,1.4689020417790744e-06,1.5176703982433537e-06,1.0765860452011111e-06,False,False,False,False,False,C2.5,2.5515815e-06,2017-03-27T17:12:00.000,12.0,4.208544055472885e-07,False
