,Flare_Number,Flare_ID,Trigger_Time,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux,Flare_C5_10min
1,2.0,201702090145.0,539877000.0,6.450520686485106e-07,6.251978561522264e-07,6.398754521796945e-07,6.251337936191703e-07,False,False,False,False,False,C1.7,1.7020639e-06,2017-02-09T01:51:00.000,6.0,1.7688651610114903e-07,False
3,6.0,201702090321.0,539882700.0,8.593956977165362e-07,7.411615001728933e-07,7.446548693224031e-07,6.596949901904736e-07,False,False,False,False,False,C2.0,2.05077e-06,2017-02-09T03:26:00.000,5.0,4.693983726156148e-07,False
4,10.0,201702090651.0,539895720.0,5.794486810373201e-07,5.280501227389323e-07,5.794486810373201e-07,5.150523634256388e-07,False,False,False,False,False,C1.8,1.8020371e-06,2017-02-09T07:02:00.000,11.0,2.3858072495386295e-07,False
5,51.0,201702211909.0,540975420.0,1.7454328826715937e-07,1.7243083050288988e-07,1.8980736626872385e-07,1.75802583157747e-07,False,False,False,False,False,,1.7987811e-07,2017-02-21T19:17:00.000,8.0,1.1908748831501725e-07,False
6,56.0,201702221258.0,541041420.0,6.415702500817133e-06,6.047885108273476e-06,6.415702500817133e-06,5.560801128012827e-06,True,True,True,True,True,C6.3,6.3901207e-06,2017-02-22T13:27:00.000,29.0,1.3743063220772456e-07,True
7,69.0,201702232032.0,541153260.0,2.139823038760369e-07,1.7262676976770308e-07,2.0544574397263204e-07,1.7233058713372884e-07,False,False,False,False,False,C2.0,2.0385078e-06,2017-02-23T20:53:00.000,21.0,1.4547784132901143e-07,False
8,70.0,201702240003.0,541167060.0,2.831590961704933e-07,2.2828146484243916e-07,2.3173964791567414e-07,1.952306547536864e-07,False,False,False,False,False,C1.6,1.6509745e-06,2017-02-24T00:12:00.000,9.0,1.1399695409863853e-07,False
9,111.0,201703030634.0,541794600.0,2.8961332532162487e-07,2.138212380486948e-07,2.8961332532162487e-07,2.3835521290038741e-07,False,False,False,False,False,B1.8,1.8872899e-07,2017-03-03T06:43:00.000,9.0,5.932793811780357e-08,False
10,165.0,201703271103.0,543885060.0,1.856287894952402e-06,1.4242705219658092e-06,1.4336075082610478e-06,1.1909939985343954e-06,False,False,False,False,True,C5.0,5.0370404e-06,2017-03-27T11:12:00.000,9.0,1.5002821385223797e-07,False
12,175.0,201703271809.0,543910500.0,4.7469170567637775e-06,2.8782126264559338e-06,2.895364104915643e-06,1.9037191805182374e-06,False,False,False,False,True,C7.9,7.992929e-06,2017-03-27T18:20:00.000,11.0,6.575513680218137e-07,False
13,187.0,201703280313.0,543943320.0,5.456691951621906e-07,4.5401449710880115e-07,4.3305018948558427e-07,4.223722669394192e-07,False,False,False,False,False,C4.7,4.7928793e-06,2017-03-28T03:23:00.000,10.0,4.0248244204121875e-07,False
14,189.0,201703280445.0,543948780.0,3.218536448912346e-06,2.1837449821759947e-06,2.280010903632501e-06,1.5588811947964132e-06,False,False,False,False,False,C4.9,4.983745e-06,2017-03-28T04:56:00.000,11.0,2.5382095714121533e-07,False
16,245.0,201704011030.0,544314900.0,5.208742663853627e-07,4.969737688043097e-07,5.208742663853627e-07,5.049808464718808e-07,False,False,False,False,False,C1.4,1.4918089e-06,2017-04-01T10:35:00.000,5.0,3.447512142429332e-07,False
17,251.0,201704012131.0,544354860.0,6.647765985690057e-05,6.09834969509393e-05,6.0873069742228836e-05,5.964616502751596e-05,True,True,True,True,True,M6.8,6.87118e-05,2017-04-01T21:48:00.000,17.0,9.480689868723857e-07,True
18,252.0,201704012259.0,544359660.0,1.8664902654563775e-06,1.689896521384071e-06,1.7483438341514557e-06,1.5292962416424416e-06,False,False,False,False,True,C7.8,7.800008e-06,2017-04-01T23:03:00.000,4.0,1.0987513405780192e-06,False
19,257.0,201704020233.0,544373040.0,2.4938119622675003e-06,2.2492315565614263e-06,2.5123940758930985e-06,2.4248538466054015e-06,False,False,False,False,True,M1.2,1.2240209e-05,2017-04-02T02:46:00.000,13.0,6.917163091202383e-07,False
20,258.0,201704020251.0,544373040.0,2.4938119622675003e-06,2.2492315565614263e-06,2.5123940758930985e-06,2.4248538466054015e-06,False,False,False,False,False,C2.4,2.4316198e-06,2017-04-02T02:58:00.000,7.0,1.790348164831812e-06,False
21,261.0,201704020742.0,544391640.0,8.392012387048453e-05,7.722142618149519e-05,8.053233614191413e-05,6.925860361661762e-05,True,True,True,True,True,M8.3,8.383287e-05,2017-04-02T08:02:00.000,20.0,1.4673271380161168e-06,True
22,264.0,201704021250.0,544409760.0,3.033543544006534e-05,2.4820399630698375e-05,2.5404278858331963e-05,2.1394298528321087e-05,True,True,True,True,True,M3.6,3.6941372e-05,2017-04-02T13:00:00.000,10.0,9.497819064563373e-07,True
23,266.0,201704021617.0,544422240.0,4.315425030654296e-06,3.965961241192417e-06,3.9890628613648005e-06,3.732238610609784e-06,False,False,False,False,False,C4.8,4.805452e-06,2017-04-02T16:27:00.000,10.0,1.7734854509399156e-06,False
24,267.0,201704021814.0,544429260.0,2.8014112103846855e-05,1.8735356206889264e-05,3.214048047084361e-05,2.5551780709065497e-05,True,True,True,True,True,M3.3,3.3523487e-05,2017-04-02T18:38:00.000,24.0,1.9914496078854427e-06,True
25,268.0,201704021845.0,544429920.0,3.2032487069955096e-05,2.917552956205327e-05,2.9233169698272832e-05,2.810993646562565e-05,True,True,True,True,True,M3.2,3.239735e-05,2017-04-02T18:52:00.000,7.0,2.7225098165217787e-05,True
26,269.0,201704022026.0,544436940.0,5.289891123538837e-05,3.232146264053881e-05,3.410673889447935e-05,2.0465789930312894e-05,True,True,True,True,True,M8.8,8.884683e-05,2017-04-02T20:33:00.000,7.0,5.601001703325892e-06,True
27,270.0,201704022103.0,544439340.0,4.36458185504307e-06,4.1220755520043895e-06,4.134006758249598e-06,3.995334736828227e-06,False,False,False,False,True,C7.3,7.319894e-06,2017-04-02T21:10:00.000,7.0,4.366834673419362e-06,False
28,271.0,201704030050.0,544453140.0,1.78388218046166e-05,1.4318068679131102e-05,1.4731290320924018e-05,1.2068642718077172e-05,True,True,True,True,True,,1.9677913e-05,2017-04-03T01:05:00.000,15.0,2.783206355161383e-06,True
