,Flare_Number,Flare_ID,Trigger_Time,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux,Flare_C5_10min
0,251.0,201704012131.0,544354980.0,6.0873069742228836e-05,5.964616502751596e-05,6.0873069742228836e-05,5.9250352933304384e-05,True,True,True,True,True,True,M6.8,6.87118e-05,2017-04-01T21:48:00.000,17.0,9.480689868723857e-07,True
1,261.0,201704020742.0,544391700.0,8.382352098124102e-05,7.361267489613965e-05,7.659530092496425e-05,6.47574634058401e-05,True,True,True,True,True,True,M8.3,8.383287e-05,2017-04-02T08:02:00.000,20.0,1.4673271380161168e-06,True
2,264.0,201704021250.0,544409820.0,2.7885198505828157e-05,2.297653009009082e-05,2.3274504201253876e-05,2.0062450857949443e-05,True,True,True,True,True,True,M3.6,3.6941372e-05,2017-04-02T13:00:00.000,10.0,9.497819064563373e-07,True
3,267.0,201704021814.0,544429800.0,3.362597999512218e-05,3.117238884442486e-05,3.2032487069955096e-05,2.917552956205327e-05,True,True,True,True,True,True,M3.3,3.3523487e-05,2017-04-02T18:38:00.000,24.0,1.9914496078854427e-06,True
4,268.0,201704021845.0,544430940.0,3.033333814528305e-05,2.8768839911208488e-05,2.898931415984407e-05,2.7607951778918505e-05,True,True,True,True,True,True,M3.2,3.239735e-05,2017-04-02T18:52:00.000,7.0,2.7225098165217787e-05,True
5,269.0,201704022026.0,544437000.0,4.330917363404296e-05,2.5763583835214376e-05,2.6342375349486247e-05,1.6465693988720886e-05,True,True,True,True,True,True,M8.8,8.884683e-05,2017-04-02T20:33:00.000,7.0,5.601001703325892e-06,True
6,271.0,201704030050.0,544453200.0,1.6262896679108962e-05,1.3114186003804207e-05,1.3398339433479123e-05,1.116424027713947e-05,True,True,True,True,True,True,,1.9677913e-05,2017-04-03T01:05:00.000,15.0,2.783206355161383e-06,True
8,286.0,201704031317.0,544497720.0,5.9391563809185755e-06,5.236280685494421e-06,5.273377610137686e-06,4.857266503677238e-06,True,True,True,True,False,True,,1.147957e-05,2017-04-03T13:24:00.000,7.0,3.0725609576620627e-06,True
9,287.0,201704031417.0,544501440.0,6.617600593017414e-05,4.5330303692026064e-05,4.7448040277231485e-05,3.2007370464270934e-05,True,True,True,True,True,True,,9.061434e-05,2017-04-03T14:28:00.000,11.0,5.51786024516332e-06,True
10,289.0,201704032005.0,544522320.0,4.257153705111705e-06,3.6418512081581866e-06,4.28960811404977e-06,3.699686885738629e-06,False,False,False,False,False,True,,7.823985e-06,2017-04-03T20:13:00.000,8.0,1.5227964240693836e-06,False
12,700.0,201707031605.0,552370380.0,4.131315108679701e-06,3.767989028347074e-06,4.009551048511639e-06,3.7087138480274007e-06,False,False,False,False,False,True,M2.0,2.035344e-05,2017-07-03T16:15:00.000,10.0,9.326345775662048e-07,False
