,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 5.e-02],4008,1825,193,8,0,635,420,1755,0.0845959595959596,0.24043062200956938,0.4913151364764268
1,[1.e-06 1.e-01],4077,1771,301,13,0,544,403,1735,0.12805872756933115,0.36596736596736595,0.5143696245017831
2,[1.0e-06 2.5e-01],4676,2027,338,20,17,709,184,873,0.2530035335689046,0.33025830258302585,0.3408817152493375
3,[1.e-06 5.e-01],5621,1406,169,15,228,735,116,554,0.2154566744730679,0.16041848299912817,0.28514190317195326
4,[1.e-06 1.e+00],6398,796,117,13,604,453,74,389,0.21922428330522767,0.10951979780960404,0.32193268186753526
7,[2.5e-06 2.5e-01],6465,971,318,18,34,807,89,142,0.5925925925925926,0.2854715378079864,0.2417910447761194
8,[2.5e-06 5.0e-01],6865,630,133,11,312,767,36,90,0.5333333333333333,0.11774325429272281,0.16196760647870426
9,[2.5e-06 1.0e+00],7195,334,87,10,709,430,22,57,0.5511363636363636,0.0784789644012945,0.18723404255319148
12,[5.0e-06 2.5e-01],7572,17,271,6,187,771,19,1,0.9326599326599326,0.2242914979757085,0.27373271889400924
13,[5.e-06 5.e-01],7583,13,79,0,460,704,5,0,0.9404761904761905,0.06355591311343524,0.10486891385767791
14,[5.e-06 1.e+00],7592,4,46,0,810,391,1,0,0.9787234042553191,0.03688853247794707,0.10633484162895927
15,[7.5e-06 5.0e-02],7579,12,393,5,520,323,12,0,0.9707317073170731,0.32070910556003224,0.5503355704697986
16,[7.5e-06 1.0e-01],7579,12,392,5,523,321,12,0,0.9706601466992665,0.31990330378726833,0.5512129380053908
17,[7.5e-06 2.5e-01],7585,8,208,3,623,411,6,0,0.9723502304147466,0.16947791164658635,0.3411949685534591
18,[7.5e-06 5.0e-01],7592,4,41,0,748,459,0,0,1.0,0.032852564102564104,0.08134920634920635
19,[7.5e-06 1.0e+00],7596,0,19,0,966,263,0,0,1.0,0.015224358974358974,0.0673758865248227
