,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 1.e-08],4055,1091,611,19,0,262,375,2431,0.18335273573923166,0.7062780269058296,0.7174775527249948
1,[1.e-06 5.e-08],4852,1129,756,26,4,156,332,1589,0.2893081761006289,0.8301486199575372,0.6777833500501504
2,[1.e-06 1.e-07],5887,875,768,28,12,176,292,806,0.42027455121436114,0.8089430894308943,0.6431239388794567
3,[1.e-06 5.e-07],7505,76,492,7,388,278,90,8,0.8358458961474037,0.42832618025751074,0.6277602523659306
6,[2.5e-06 1.0e-08],6062,765,685,25,0,239,324,744,0.39932508436445446,0.7481559536354057,0.6391085549964055
7,[2.5e-06 5.0e-08],6147,728,744,26,4,180,320,695,0.43137254901960786,0.8071278825995807,0.6628295581136279
8,[2.5e-06 1.0e-07],6366,711,759,28,12,193,284,491,0.5038412291933418,0.7933467741935484,0.6334144363341444
9,[2.5e-06 5.0e-07],7511,73,491,7,388,279,90,5,0.8397976391231029,0.4274678111587983,0.6275132275132275
12,[5.e-06 1.e-08],7554,30,616,10,5,538,89,2,0.8730822873082287,0.5355004277159966,0.5579766536964981
13,[5.e-06 5.e-08],7556,28,628,10,19,514,87,2,0.8775790921595599,0.5448334756618275,0.5728920409771474
14,[5.e-06 1.e-07],7558,27,626,10,31,502,89,1,0.8760330578512396,0.544054747647562,0.5784860557768924
