,Flare_Number,Flare_ID,Trigger_Time,Cancelled?,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux,Flare_C5_10min
1,6,201702090321,539882880.0,True,7.109057378329453e-07,6.171748054839554e-07,6.523874844788224e-07,5.301234295984614e-07,False,False,False,False,False,False,C2.0,2.05077e-06,2017-02-09T03:26:00.000,5.0,4.693983726156148e-07,False
2,69,201702232032,541155360.0,True,1.6133227518366766e-06,1.486569203734689e-06,1.5022709476397722e-06,1.3967465974928928e-06,False,False,False,False,False,False,C2.0,2.0385078e-06,2017-02-23T20:53:00.000,21.0,1.4547784132901143e-07,False
3,101,201702281135,541554780.0,True,8.015252319637511e-07,7.566900990241265e-07,7.564194106635114e-07,7.389210736619134e-07,False,False,False,False,False,False,C1.1,1.1513322e-06,2017-02-28T11:51:00.000,16.0,8.415181440568631e-08,False
4,165,201703271103,543885300.0,True,1.218083752974053e-06,1.0501859151190729e-06,1.0554476830293424e-06,9.530729130347027e-07,False,False,False,False,False,True,C5.0,5.0370404e-06,2017-03-27T11:12:00.000,9.0,1.5002821385223797e-07,False
5,172,201703271700,543906900.0,True,7.287395078492409e-07,6.250193678170035e-07,6.349919203785248e-07,5.548790795728564e-07,False,False,False,False,False,False,C2.5,2.5515815e-06,2017-03-27T17:12:00.000,12.0,4.208544055472885e-07,False
6,175,201703271809,543910920.0,True,1.2051749536112766e-06,9.294815299654147e-07,9.492708841207786e-07,7.620466817570559e-07,False,False,False,False,False,True,C7.9,7.992929e-06,2017-03-27T18:20:00.000,11.0,6.575513680218137e-07,False
7,189,201703280445,543949140.0,True,1.1687203596011386e-06,8.57101895235246e-07,8.894547818272258e-07,6.746330996065808e-07,False,False,False,False,False,False,C4.9,4.983745e-06,2017-03-28T04:56:00.000,11.0,2.5382095714121533e-07,False
8,213,201703292314,544102380.0,True,8.353424618690042e-07,7.697135515627451e-07,7.790839617882739e-07,7.260446182044689e-07,False,False,False,False,False,False,C1.0,1.0085395e-06,2017-03-29T23:32:00.000,18.0,2.330881443413091e-07,False
9,238,201703312253,544273440.0,True,1.1045713108615018e-06,9.821500270845718e-07,9.97928168544604e-07,8.926915029405791e-07,False,False,False,False,False,False,C1.8,1.8190101e-06,2017-03-31T23:01:00.000,8.0,4.022513167001307e-07,False
10,247,201704011528,544333980.0,True,1.3572602028943948e-06,1.2890581047031446e-06,1.3017133824178018e-06,1.2444412504919455e-06,False,False,False,False,False,False,C1.2,1.2506694e-06,2017-04-01T15:47:00.000,19.0,6.1388630001602e-07,False
11,249,201704011921,544348680.0,True,4.643100510293152e-06,4.212332441966282e-06,4.306141363485949e-06,3.831594312941888e-06,False,False,False,False,False,True,C5.8,5.8023916e-06,2017-04-01T19:56:00.000,35.0,5.572285886046302e-07,True
12,251,201704012131,544355460.0,True,5.429371594800614e-05,4.438387986738235e-05,4.6229513827711344e-05,3.701529567479156e-05,True,True,True,True,True,True,M6.8,6.87118e-05,2017-04-01T21:48:00.000,17.0,9.480689868723857e-07,True
13,252,201704012259,544361040.0,True,9.121089874497557e-07,8.503657227265649e-07,8.668072837281215e-07,8.149481800501235e-07,False,False,False,False,False,True,C7.8,7.800008e-06,2017-04-01T23:03:00.000,4.0,1.0987513405780192e-06,False
14,258,201704020251,544375140.0,True,2.1358530375437113e-06,2.0415736798895523e-06,2.0580750970111694e-06,1.9788560621236684e-06,False,False,False,False,False,False,C2.4,2.4316198e-06,2017-04-02T02:58:00.000,7.0,1.790348164831812e-06,False
16,260,201704020733,544390080.0,True,1.8198342104369658e-06,1.7108231986640021e-06,1.8198342104369658e-06,1.6714056982891634e-06,False,False,False,False,False,False,C1.7,1.7441325e-06,2017-04-02T07:38:00.000,5.0,1.2170282843726454e-06,False
17,261,201704020742,544392300.0,True,4.259881461621262e-05,3.644885146059096e-05,3.6754052416654304e-05,3.2942167308647186e-05,True,True,True,True,True,True,M8.3,8.383287e-05,2017-04-02T08:02:00.000,20.0,1.4673271380161168e-06,True
18,262,201704021040,544401480.0,True,1.8418776335238363e-06,1.7230128150913515e-06,1.8922733033832628e-06,1.7295382122028968e-06,False,False,False,False,False,False,C1.7,1.7494887e-06,2017-04-02T10:46:00.000,6.0,1.1926986189791933e-06,False
